symbol,gap_start,gap_end,gap_seconds,gap_minutes,pre_gap_last,post_gap_last,price_change_pct,halt_classification
AAPL/USD,2026-05-10 18:42:06.386+00,2026-05-10 18:57:35.508+00,929,15.5,293.8600,293.8600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-10 18:57:35.508+00,2026-05-10 19:48:15.3+00,3040,50.7,293.8600,293.8600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-10 19:51:46.684+00,2026-05-10 20:42:31.172+00,3044,50.7,293.8600,293.8600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-10 20:46:46.384+00,2026-05-11 00:03:29.991+00,11804,196.7,293.8600,293.8600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-11 00:03:29.991+00,2026-05-11 00:15:00.67+00,691,11.5,293.8600,293.9300,0.0238,candidate_pause_no_movement
AAPL/USD,2026-05-15 20:09:23.933+00,2026-05-15 20:19:19.615+00,596,9.9,300.0400,299.9100,-0.0433,candidate_pause_no_movement
AAPL/USD,2026-05-15 20:29:57.097+00,2026-05-15 20:39:43.449+00,586,9.8,299.6600,299.9000,0.0801,candidate_pause_no_movement
AAPL/USD,2026-05-16 00:15:00.2+00,2026-05-16 02:22:58.826+00,7679,128.0,299.7600,299.7600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-16 02:22:58.826+00,2026-05-16 02:47:03.983+00,1445,24.1,299.7600,299.7600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-16 02:47:03.983+00,2026-05-16 10:51:42.053+00,29078,484.6,299.7600,299.7600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-16 10:51:42.053+00,2026-05-16 17:46:42.309+00,24900,415.0,299.7600,299.7600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-16 17:46:42.309+00,2026-05-17 12:46:53.775+00,68411,1140.2,299.7600,299.7600,0.0000,candidate_pause_no_movement
AAPL/USD,2026-05-17 12:46:53.775+00,2026-05-17 16:12:10.412+00,12317,205.3,299.7600,299.7600,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-10 18:42:06.378+00,2026-05-10 18:57:35.501+00,929,15.5,201.4400,201.4400,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-10 18:57:35.501+00,2026-05-10 19:48:15.299+00,3040,50.7,201.4400,201.4400,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-10 19:51:46.685+00,2026-05-10 20:42:31.172+00,3044,50.7,201.4400,201.4400,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-10 20:46:46.384+00,2026-05-11 00:03:29.993+00,11804,196.7,201.4400,201.4400,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 00:03:29.993+00,2026-05-11 00:15:00.67+00,691,11.5,201.4400,201.4400,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 01:08:46.967+00,2026-05-11 01:17:49.968+00,543,9.1,201.7300,201.7300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 01:19:04.468+00,2026-05-11 01:28:39.373+00,575,9.6,201.7300,201.7300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 01:44:47.967+00,2026-05-11 01:50:45.067+00,357,6.0,201.0800,201.0800,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 01:50:45.067+00,2026-05-11 01:58:47.468+00,482,8.0,201.0800,201.0800,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 02:19:04.767+00,2026-05-11 02:30:16.866+00,672,11.2,201.2600,201.2600,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 02:31:51.066+00,2026-05-11 02:37:31.367+00,340,5.7,201.2800,201.2800,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 02:44:05.767+00,2026-05-11 02:52:51.994+00,526,8.8,201.2800,201.2800,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 03:00:58.494+00,2026-05-11 03:21:18.793+00,1220,20.3,201.8400,201.8400,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 03:43:58.693+00,2026-05-11 03:52:56.999+00,538,9.0,201.3300,201.3300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 03:55:00.897+00,2026-05-11 04:00:56.599+00,356,5.9,201.3300,201.3300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 04:06:12.8+00,2026-05-11 04:33:27.529+00,1635,27.2,201.3300,201.3300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 04:34:07.491+00,2026-05-11 04:45:17.193+00,670,11.2,201.3300,201.3300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 04:46:05.293+00,2026-05-11 04:59:43.178+00,818,13.6,201.3300,201.3300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 05:00:15.989+00,2026-05-11 05:12:51.76+00,756,12.6,201.3300,201.3300,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 05:27:36.368+00,2026-05-11 05:32:49.292+00,313,5.2,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 05:34:33.609+00,2026-05-11 05:44:06.994+00,573,9.6,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 05:45:40.025+00,2026-05-11 05:56:44.595+00,665,11.1,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 06:03:05.796+00,2026-05-11 06:12:50.202+00,584,9.7,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 06:16:41.202+00,2026-05-11 06:23:45.202+00,424,7.1,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 06:23:45.202+00,2026-05-11 06:33:42.01+00,597,9.9,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 06:33:55.036+00,2026-05-11 06:55:35.933+00,1301,21.7,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 06:58:02.294+00,2026-05-11 07:04:15.693+00,373,6.2,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 07:04:15.693+00,2026-05-11 07:13:52.318+00,577,9.6,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 07:21:06.229+00,2026-05-11 07:27:30.829+00,385,6.4,201.4500,201.4500,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 07:45:08.029+00,2026-05-11 07:50:17.029+00,309,5.2,201.5600,201.5600,0.0000,candidate_pause_no_movement
ABBV/USD,2026-05-11 08:00:32.629+00,2026-05-11 08:10:32.43+00,600,10.0,201.5600,201.5600,0.0000,candidate_pause_no_movement
