timestamp,symbol,strategy,stage,block_reason
2025-12-05T09:55:51.153Z,AUD/USD,sma_trend_ride,attempt,
2025-12-05T09:55:51.769Z,AUD/USD,sma_trend_ride,rtb,
2025-12-05T09:55:51.847Z,AUD/USD,sma_trend_ride,opened,
2025-12-05T09:56:01.736Z,ADAAUD,mean_reversion,attempt,
2025-12-05T09:56:02.113Z,ADAAUD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:02.867Z,ADAEUR,mean_reversion,attempt,
2025-12-05T09:56:03.263Z,ADAEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:04.322Z,ADAGBP,mean_reversion,attempt,
2025-12-05T09:56:04.703Z,ADAGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:05.374Z,ADAUSDC,mean_reversion,attempt,
2025-12-05T09:56:05.746Z,ADAUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:06.299Z,ADAUSDT,mean_reversion,attempt,
2025-12-05T09:56:06.654Z,ADAUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:07.634Z,ATOMEUR,mean_reversion,attempt,
2025-12-05T09:56:07.961Z,ATOMEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:08.612Z,AUD/USD,sma_trend_ride,attempt,
2025-12-05T09:56:08.751Z,ATOMUSD,mean_reversion,attempt,
2025-12-05T09:56:09.083Z,ATOMUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:09.140Z,AUD/USD,sma_trend_ride,rtb,
2025-12-05T09:56:09.216Z,AUD/USD,sma_trend_ride,opened,
2025-12-05T09:56:09.556Z,AUDUSD,vwap_pullback,attempt,
2025-12-05T09:56:09.780Z,AUDUSD,vwap_pullback,attempt,POSITION_LIMIT
2025-12-05T09:56:10.084Z,AUDUSD,sma_trend_ride,attempt,
2025-12-05T09:56:10.304Z,AUDUSD,sma_trend_ride,attempt,POSITION_LIMIT
2025-12-05T09:56:11.154Z,CVXUSD,mean_reversion,attempt,
2025-12-05T09:56:11.524Z,CVXUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:11.825Z,ADAAUD,mean_reversion,attempt,
2025-12-05T09:56:12.193Z,ADAAUD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:12.916Z,DOTEUR,mean_reversion,attempt,
2025-12-05T09:56:13.277Z,ADAEUR,mean_reversion,attempt,
2025-12-05T09:56:13.301Z,DOTEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:13.655Z,ADAEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:14.158Z,DOTGBP,mean_reversion,attempt,
2025-12-05T09:56:14.528Z,DOTGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:14.584Z,ADAGBP,mean_reversion,attempt,
2025-12-05T09:56:14.964Z,ADAGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:15.478Z,DOTUSD,mean_reversion,attempt,
2025-12-05T09:56:15.740Z,ADAUSDC,mean_reversion,attempt,
2025-12-05T09:56:15.909Z,DOTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:16.101Z,ADAUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:16.769Z,DOTUSDC,mean_reversion,attempt,
2025-12-05T09:56:16.838Z,ADAUSDT,mean_reversion,attempt,
2025-12-05T09:56:17.139Z,DOTUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:17.215Z,ADAUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:17.935Z,DOTUSDT,mean_reversion,attempt,
2025-12-05T09:56:18.308Z,DOTUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:18.739Z,ATOMEUR,mean_reversion,attempt,
2025-12-05T09:56:19.107Z,ATOMEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:19.307Z,XETCZUSD,mean_reversion,attempt,
2025-12-05T09:56:19.675Z,XETCZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:20.191Z,ATOMUSD,mean_reversion,attempt,
2025-12-05T09:56:20.536Z,ETHFIEUR,mean_reversion,attempt,
2025-12-05T09:56:20.572Z,ATOMUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:20.904Z,ETHFIEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:21.672Z,ETHFIUSD,mean_reversion,attempt,
2025-12-05T09:56:21.730Z,AUDUSD,vwap_pullback,attempt,
2025-12-05T09:56:21.951Z,AUDUSD,vwap_pullback,attempt,POSITION_LIMIT
2025-12-05T09:56:22.047Z,ETHFIUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:22.271Z,AUDUSD,sma_trend_ride,attempt,
2025-12-05T09:56:22.491Z,AUDUSD,sma_trend_ride,attempt,POSITION_LIMIT
2025-12-05T09:56:23.336Z,EURCAD,vwap_pullback,attempt,
2025-12-05T09:56:23.443Z,CVXUSD,mean_reversion,attempt,
2025-12-05T09:56:23.709Z,EURCAD,vwap_pullback,attempt,MAX_POSITION
2025-12-05T09:56:23.821Z,CVXUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:24.750Z,EWTUSD,mean_reversion,attempt,
2025-12-05T09:56:25.134Z,EWTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:25.363Z,DOTEUR,mean_reversion,attempt,
2025-12-05T09:56:25.738Z,DOTEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:26.399Z,FORTHUSD,mean_reversion,attempt,
2025-12-05T09:56:26.644Z,DOTGBP,mean_reversion,attempt,
2025-12-05T09:56:26.776Z,FORTHUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:27.015Z,DOTGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:27.509Z,KSMEUR,mean_reversion,attempt,
2025-12-05T09:56:27.890Z,KSMEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:28.332Z,DOTUSD,mean_reversion,attempt,
2025-12-05T09:56:28.669Z,KSMUSD,mean_reversion,attempt,
2025-12-05T09:56:28.695Z,DOTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:29.053Z,KSMUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:29.696Z,DOTUSDC,mean_reversion,attempt,
2025-12-05T09:56:30.073Z,DOTUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:30.102Z,LDOEUR,mean_reversion,attempt,
2025-12-05T09:56:30.473Z,LDOEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:31.235Z,LINKEUR,vwap_pullback,attempt,
2025-12-05T09:56:31.258Z,DOTUSDT,mean_reversion,attempt,
2025-12-05T09:56:31.603Z,LINKEUR,vwap_pullback,attempt,MAX_POSITION
2025-12-05T09:56:31.636Z,DOTUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:32.332Z,LINKUSDT,vwap_pullback,attempt,
2025-12-05T09:56:32.729Z,LINKUSDT,vwap_pullback,attempt,MAX_POSITION
2025-12-05T09:56:32.936Z,XETCZUSD,mean_reversion,attempt,
2025-12-05T09:56:33.315Z,XETCZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:33.857Z,XLTCZEUR,mean_reversion,attempt,
2025-12-05T09:56:34.255Z,XLTCZEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:34.311Z,ETHFIEUR,mean_reversion,attempt,
2025-12-05T09:56:34.689Z,ETHFIEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:35.262Z,XLTCZUSD,mean_reversion,attempt,
2025-12-05T09:56:35.606Z,ETHFIUSD,mean_reversion,attempt,
2025-12-05T09:56:35.685Z,XLTCZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:36.084Z,ETHFIUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:36.802Z,EURCAD,vwap_pullback,attempt,
2025-12-05T09:56:37.185Z,EURCAD,vwap_pullback,attempt,MAX_POSITION
2025-12-05T09:56:37.888Z,MNTUSD,mean_reversion,attempt,
2025-12-05T09:56:38.283Z,MNTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:38.557Z,EWTUSD,mean_reversion,attempt,
2025-12-05T09:56:38.881Z,EWTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:39.260Z,NANOEUR,mean_reversion,attempt,
2025-12-05T09:56:39.587Z,NANOEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:39.851Z,FORTHUSD,mean_reversion,attempt,
2025-12-05T09:56:40.223Z,FORTHUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:40.618Z,NOSUSD,mean_reversion,attempt,
2025-12-05T09:56:40.991Z,NOSUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:41.263Z,KSMEUR,mean_reversion,attempt,
2025-12-05T09:56:41.642Z,KSMEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:41.692Z,OPEUR,mean_reversion,attempt,
2025-12-05T09:56:41.758Z,ADAAUD,mean_reversion,attempt,
2025-12-05T09:56:42.077Z,OPEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:42.135Z,ADAAUD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:56:42.849Z,KSMUSD,mean_reversion,attempt,
2025-12-05T09:56:42.881Z,ADAEUR,mean_reversion,attempt,
2025-12-05T09:56:42.989Z,OPUSD,mean_reversion,attempt,
2025-12-05T09:56:43.216Z,KSMUSD,mean_reversion,attempt,MAX_POSITION
