timestamp,symbol,strategy,stage,block_reason
2025-12-05T12:24:34.881Z,LINKUSD,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:24:34.976Z,NANOEUR,mean_reversion,attempt,
2025-12-05T12:24:34.991Z,USD/CHF,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:35.302Z,NANOEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:35.804Z,ENA/USD,vwap_pullback,attempt,
2025-12-05T12:24:35.911Z,LINKUSDC,vwap_pullback,attempt,
2025-12-05T12:24:36.063Z,NANOUSD,mean_reversion,attempt,
2025-12-05T12:24:36.235Z,LINKUSDC,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:24:36.366Z,ENA/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:36.391Z,NANOUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:37.123Z,NOSUSD,mean_reversion,attempt,
2025-12-05T12:24:37.221Z,LINKUSDT,vwap_pullback,attempt,
2025-12-05T12:24:37.453Z,NOSUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:37.492Z,BAT/USD,vwap_pullback,attempt,
2025-12-05T12:24:37.551Z,LINKUSDT,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:24:38.023Z,BAT/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:38.122Z,OPEUR,mean_reversion,attempt,
2025-12-05T12:24:38.453Z,OPEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:38.473Z,XLTCZEUR,mean_reversion,attempt,
2025-12-05T12:24:38.799Z,XLTCZEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:39.394Z,OPUSD,mean_reversion,attempt,
2025-12-05T12:24:39.723Z,OPUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:39.786Z,XLTCZUSD,mean_reversion,attempt,
2025-12-05T12:24:40.110Z,XLTCZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:40.683Z,PROVEEUR,mean_reversion,attempt,
2025-12-05T12:24:40.764Z,MASKEUR,mean_reversion,attempt,
2025-12-05T12:24:41.013Z,PROVEEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:41.089Z,MASKEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:41.346Z,XRP/USD,vwap_pullback,attempt,
2025-12-05T12:24:41.605Z,ADAAUD,mean_reversion,attempt,
2025-12-05T12:24:41.865Z,XRP/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:41.931Z,ADAAUD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:42.264Z,RUNEEUR,mean_reversion,attempt,
2025-12-05T12:24:42.589Z,RUNEEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:43.029Z,AKTEUR,mean_reversion,attempt,
2025-12-05T12:24:43.052Z,XRP/EUR,vwap_pullback,attempt,
2025-12-05T12:24:43.252Z,MEUSD,mean_reversion,attempt,
2025-12-05T12:24:43.355Z,AKTEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:43.576Z,MEUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:43.579Z,XRP/EUR,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:43.845Z,RUNEUSD,mean_reversion,attempt,
2025-12-05T12:24:44.014Z,AUDUSD,vwap_pullback,attempt,
2025-12-05T12:24:44.181Z,RUNEUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:44.337Z,AUDUSD,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:24:44.597Z,AUDUSD,sma_trend_ride,attempt,
2025-12-05T12:24:44.662Z,USD/CHF,vwap_pullback,attempt,
2025-12-05T12:24:44.872Z,SOSOUSD,mean_reversion,attempt,
2025-12-05T12:24:44.951Z,AUDUSD,sma_trend_ride,attempt,MAX_POSITION
2025-12-05T12:24:44.960Z,NANOEUR,mean_reversion,attempt,
2025-12-05T12:24:45.197Z,SOSOUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:45.199Z,USD/CHF,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:45.326Z,NANOEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:45.871Z,CAKEUSD,mean_reversion,attempt,
2025-12-05T12:24:46.002Z,ENA/USD,vwap_pullback,attempt,
2025-12-05T12:24:46.137Z,TONEUR,mean_reversion,attempt,
2025-12-05T12:24:46.194Z,CAKEUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:46.467Z,TONEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:46.520Z,ENA/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:46.538Z,NANOUSD,mean_reversion,attempt,
2025-12-05T12:24:46.864Z,NANOUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:47.422Z,BAT/USD,vwap_pullback,attempt,
2025-12-05T12:24:47.685Z,CVXUSD,mean_reversion,attempt,
2025-12-05T12:24:47.833Z,TONUSD,mean_reversion,attempt,
2025-12-05T12:24:47.949Z,BAT/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:48.013Z,CVXUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:48.448Z,TONUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:48.477Z,NOSUSD,mean_reversion,attempt,
2025-12-05T12:24:48.823Z,NOSUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:48.970Z,DOTEUR,mean_reversion,attempt,
2025-12-05T12:24:49.314Z,DOTEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:49.646Z,TRUMPUSD,mean_reversion,attempt,
2025-12-05T12:24:49.754Z,OPEUR,mean_reversion,attempt,
2025-12-05T12:24:49.974Z,TRUMPUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:50.082Z,OPEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:50.190Z,XRP/USD,vwap_pullback,attempt,
2025-12-05T12:24:50.511Z,DOTGBP,mean_reversion,attempt,
2025-12-05T12:24:50.711Z,XRP/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:50.850Z,DOTGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:51.078Z,OPUSD,mean_reversion,attempt,
2025-12-05T12:24:51.169Z,TRXUSD,vwap_pullback,attempt,
2025-12-05T12:24:51.364Z,TRXUSD,vwap_pullback,attempt,POSITION_LIMIT
2025-12-05T12:24:51.401Z,OPUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:51.709Z,XRP/EUR,vwap_pullback,attempt,
2025-12-05T12:24:51.788Z,DOTUSDC,mean_reversion,attempt,
2025-12-05T12:24:52.112Z,DOTUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:52.242Z,XRP/EUR,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:52.440Z,PROVEEUR,mean_reversion,attempt,
2025-12-05T12:24:52.760Z,USDCHF,vwap_pullback,attempt,
2025-12-05T12:24:52.768Z,PROVEEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:52.817Z,DOTUSDT,mean_reversion,attempt,
2025-12-05T12:24:53.084Z,USDCHF,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:24:53.150Z,DOTUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:53.694Z,RUNEEUR,mean_reversion,attempt,
2025-12-05T12:24:54.024Z,RUNEEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:54.169Z,XETCZUSD,mean_reversion,attempt,
2025-12-05T12:24:54.379Z,XXRPZCAD,mean_reversion,attempt,
2025-12-05T12:24:54.498Z,XETCZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:54.711Z,XXRPZCAD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:54.940Z,ENA/USD,vwap_pullback,attempt,
2025-12-05T12:24:55.362Z,RUNEUSD,mean_reversion,attempt,
2025-12-05T12:24:55.457Z,ENA/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:55.507Z,ETHFIEUR,mean_reversion,attempt,
2025-12-05T12:24:55.652Z,XXRPZEUR,mean_reversion,attempt,
2025-12-05T12:24:55.702Z,RUNEUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:55.838Z,ETHFIEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:55.977Z,XXRPZEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:56.648Z,SOSOUSD,mean_reversion,attempt,
2025-12-05T12:24:56.846Z,BAT/USD,vwap_pullback,attempt,
2025-12-05T12:24:56.909Z,EULEUR,mean_reversion,attempt,
2025-12-05T12:24:56.977Z,SOSOUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:57.225Z,XRPGBP,mean_reversion,attempt,
2025-12-05T12:24:57.238Z,EULEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:57.365Z,BAT/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:57.548Z,XRPGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:58.164Z,TONEUR,mean_reversion,attempt,
2025-12-05T12:24:58.200Z,CRV/USD,vwap_pullback,attempt,
2025-12-05T12:24:58.493Z,TONEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:58.502Z,XRPRLUSD,mean_reversion,attempt,
2025-12-05T12:24:58.720Z,CRV/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:24:58.831Z,XRPRLUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:58.932Z,EWTUSD,mean_reversion,attempt,
2025-12-05T12:24:59.256Z,EWTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:59.414Z,TONUSD,mean_reversion,attempt,
2025-12-05T12:24:59.494Z,XRPUSDT,mean_reversion,attempt,
2025-12-05T12:24:59.738Z,TONUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:24:59.827Z,XRPUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:00.262Z,FORTHUSD,mean_reversion,attempt,
2025-12-05T12:25:00.415Z,TRUMPUSD,mean_reversion,attempt,
2025-12-05T12:25:00.588Z,FORTHUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:00.738Z,TRUMPUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:01.000Z,XTZEUR,mean_reversion,attempt,
2025-12-05T12:25:01.326Z,XTZEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:01.543Z,FXSUSD,mean_reversion,attempt,
2025-12-05T12:25:01.870Z,FXSUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:02.053Z,XTZUSD,mean_reversion,attempt,
2025-12-05T12:25:02.380Z,XTZUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:02.602Z,TRXUSD,vwap_pullback,attempt,
2025-12-05T12:25:02.603Z,XRP/EUR,vwap_pullback,attempt,
2025-12-05T12:25:02.796Z,TRXUSD,vwap_pullback,attempt,POSITION_LIMIT
2025-12-05T12:25:02.889Z,KSMUSD,mean_reversion,attempt,
2025-12-05T12:25:03.364Z,XRP/EUR,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:25:03.426Z,KSMUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:03.490Z,USDCHF,vwap_pullback,attempt,
2025-12-05T12:25:03.823Z,USDCHF,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:25:04.125Z,LINKEUR,vwap_pullback,attempt,
2025-12-05T12:25:04.455Z,LINKEUR,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:25:04.847Z,XXRPZCAD,mean_reversion,attempt,
2025-12-05T12:25:05.173Z,XXRPZCAD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:05.302Z,ENA/USD,vwap_pullback,attempt,
2025-12-05T12:25:05.631Z,LINKUSD,vwap_pullback,attempt,
2025-12-05T12:25:05.823Z,ENA/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:25:05.959Z,LINKUSD,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:25:06.070Z,XXRPZEUR,mean_reversion,attempt,
2025-12-05T12:25:06.395Z,XXRPZEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:06.894Z,BAT/USD,vwap_pullback,attempt,
2025-12-05T12:25:07.121Z,LINKUSDC,vwap_pullback,attempt,
2025-12-05T12:25:07.408Z,XRPGBP,mean_reversion,attempt,
2025-12-05T12:25:07.412Z,BAT/USD,vwap_pullback,attempt,MAX_TOTAL_EXPOSURE
2025-12-05T12:25:07.447Z,LINKUSDC,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:25:07.735Z,XRPGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:08.110Z,LINKUSDT,vwap_pullback,attempt,
2025-12-05T12:25:08.435Z,LINKUSDT,vwap_pullback,attempt,MAX_POSITION
2025-12-05T12:25:08.740Z,XRPRLUSD,mean_reversion,attempt,
2025-12-05T12:25:09.065Z,XRPRLUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T12:25:09.328Z,CRV/USD,vwap_pullback,attempt,
2025-12-05T12:25:09.366Z,XLTCZEUR,mean_reversion,attempt,
