timestamp,symbol,strategy,entry_price,portfolio_balance,max_single_position_allowed,max_total_exposure_allowed,current_total_exposure,calculated_quantity,calculated_notional,buffered_max_notional,block_reason
2025-12-05T09:55:51.541Z,AUD/USD,sma_trend_ride,0.66416568,32000,4800,8000,0,7010.298996479312,4656,4656,PASS
2025-12-05T09:56:02.113Z,ADAAUD,mean_reversion,0.65049985,32000,4800,8000,0,0,87360.00000000103,4656,MAX_POSITION
2025-12-05T09:56:03.263Z,ADAEUR,mean_reversion,0.37037,32000,4800,8000,0,0,87360.0000000008,4656,MAX_POSITION
2025-12-05T09:56:04.703Z,ADAGBP,mean_reversion,0.32278246,32000,4800,8000,0,0,87360.00000000023,4656,MAX_POSITION
2025-12-05T09:56:05.746Z,ADAUSDC,mean_reversion,0.43210667499999994,32000,4800,8000,0,0,87360.000000001,4656,MAX_POSITION
2025-12-05T09:56:06.654Z,ADAUSDT,mean_reversion,0.43108565499999996,32000,4800,8000,0,0,87360.00000000061,4656,MAX_POSITION
2025-12-05T09:56:07.961Z,ATOMEUR,mean_reversion,1.9505485999999999,32000,4800,8000,0,0,87360.00000000057,4656,MAX_POSITION
2025-12-05T09:56:08.941Z,AUD/USD,sma_trend_ride,0.66416568,32000,4800,8000,0,7010.298996479312,4656,4656,PASS
2025-12-05T09:56:09.083Z,ATOMUSD,mean_reversion,2.2727705,32000,4800,8000,0,0,87359.99999999985,4656,MAX_POSITION
2025-12-05T09:56:11.524Z,CVXUSD,mean_reversion,1.8238219999999998,32000,4800,8000,0,0,87360.00000000047,4656,MAX_POSITION
2025-12-05T09:56:12.193Z,ADAAUD,mean_reversion,0.65049985,32000,4800,8000,0,0,87360.00000000103,4656,MAX_POSITION
2025-12-05T09:56:13.301Z,DOTEUR,mean_reversion,1.9262242999999997,32000,4800,8000,0,0,87360.00000000045,4656,MAX_POSITION
2025-12-05T09:56:13.654Z,ADAEUR,mean_reversion,0.37037,32000,4800,8000,0,0,87360.0000000008,4656,MAX_POSITION
2025-12-05T09:56:14.528Z,DOTGBP,mean_reversion,1.6791774999999998,32000,4800,8000,0,0,87360.00000000112,4656,MAX_POSITION
2025-12-05T09:56:14.964Z,ADAGBP,mean_reversion,0.32278246,32000,4800,8000,0,0,87360.00000000023,4656,MAX_POSITION
2025-12-05T09:56:15.909Z,DOTUSD,mean_reversion,2.2425403,32000,4800,8000,0,0,87359.99999999948,4656,MAX_POSITION
2025-12-05T09:56:16.101Z,ADAUSDC,mean_reversion,0.43210667499999994,32000,4800,8000,0,0,87360.000000001,4656,MAX_POSITION
2025-12-05T09:56:17.139Z,DOTUSDC,mean_reversion,2.246244,32000,4800,8000,0,0,87360.00000000103,4656,MAX_POSITION
2025-12-05T09:56:17.215Z,ADAUSDT,mean_reversion,0.43108565499999996,32000,4800,8000,0,0,87360.00000000061,4656,MAX_POSITION
2025-12-05T09:56:18.308Z,DOTUSDT,mean_reversion,2.2456433999999996,32000,4800,8000,0,0,87360.00000000051,4656,MAX_POSITION
2025-12-05T09:56:19.107Z,ATOMEUR,mean_reversion,1.9505485999999999,32000,4800,8000,0,0,87360.00000000057,4656,MAX_POSITION
2025-12-05T09:56:19.675Z,XETCZUSD,mean_reversion,13.606592999999998,32000,4800,8000,0,0,87360.00000000086,4656,MAX_POSITION
2025-12-05T09:56:20.572Z,ATOMUSD,mean_reversion,2.2727705,32000,4800,8000,0,0,87359.99999999985,4656,MAX_POSITION
2025-12-05T09:56:20.904Z,ETHFIEUR,mean_reversion,0.6881875,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T09:56:22.047Z,ETHFIUSD,mean_reversion,0.7996989,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T09:56:23.709Z,EURCAD,vwap_pullback,1.6267250999999998,32000,4800,8000,0,0,229660.78517511568,4656,MAX_POSITION
2025-12-05T09:56:23.821Z,CVXUSD,mean_reversion,1.8238219999999998,32000,4800,8000,0,0,87360.00000000047,4656,MAX_POSITION
2025-12-05T09:56:25.134Z,EWTUSD,mean_reversion,0.6906899999999999,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T09:56:25.738Z,DOTEUR,mean_reversion,1.9262242999999997,32000,4800,8000,0,0,87360.00000000045,4656,MAX_POSITION
2025-12-05T09:56:26.776Z,FORTHUSD,mean_reversion,1.738737,32000,4800,8000,0,0,87360.00000000007,4656,MAX_POSITION
2025-12-05T09:56:27.015Z,DOTGBP,mean_reversion,1.6791774999999998,32000,4800,8000,0,0,87360.00000000112,4656,MAX_POSITION
2025-12-05T09:56:27.890Z,KSMEUR,mean_reversion,7.257249999999999,32000,4800,8000,0,0,87360.00000000122,4656,MAX_POSITION
2025-12-05T09:56:28.695Z,DOTUSD,mean_reversion,2.2425403,32000,4800,8000,0,0,87359.99999999948,4656,MAX_POSITION
2025-12-05T09:56:29.052Z,KSMUSD,mean_reversion,8.448439999999998,32000,4800,8000,0,0,87360.00000000099,4656,MAX_POSITION
2025-12-05T09:56:30.073Z,DOTUSDC,mean_reversion,2.246244,32000,4800,8000,0,0,87360.00000000103,4656,MAX_POSITION
2025-12-05T09:56:30.473Z,LDOEUR,mean_reversion,0.53053,32000,4800,8000,0,0,87360.00000000163,4656,MAX_POSITION
2025-12-05T09:56:31.603Z,LINKEUR,vwap_pullback,12.068886829999999,32000,4800,8000,0,0,46454.46659904667,4656,MAX_POSITION
2025-12-05T09:56:31.636Z,DOTUSDT,mean_reversion,2.2456433999999996,32000,4800,8000,0,0,87360.00000000051,4656,MAX_POSITION
2025-12-05T09:56:32.729Z,LINKUSDT,vwap_pullback,14.072138079999998,32000,4800,8000,0,0,76335.11948249959,4656,MAX_POSITION
2025-12-05T09:56:33.315Z,XETCZUSD,mean_reversion,13.606592999999998,32000,4800,8000,0,0,87360.00000000086,4656,MAX_POSITION
2025-12-05T09:56:34.255Z,XLTCZEUR,mean_reversion,70.65057999999999,32000,4800,8000,0,0,87360.00000000124,4656,MAX_POSITION
2025-12-05T09:56:34.689Z,ETHFIEUR,mean_reversion,0.6881875,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T09:56:35.685Z,XLTCZUSD,mean_reversion,82.24215999999998,32000,4800,8000,0,0,87360.00000000083,4656,MAX_POSITION
2025-12-05T09:56:36.083Z,ETHFIUSD,mean_reversion,0.7996989,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T09:56:37.185Z,EURCAD,vwap_pullback,1.6267250999999998,32000,4800,8000,0,0,229660.78517511568,4656,MAX_POSITION
2025-12-05T09:56:38.283Z,MNTUSD,mean_reversion,1.0444434,32000,4800,8000,0,0,87360.00000000022,4656,MAX_POSITION
2025-12-05T09:56:38.881Z,EWTUSD,mean_reversion,0.6906899999999999,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T09:56:39.586Z,NANOEUR,mean_reversion,0.7067250189999998,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T09:56:40.223Z,FORTHUSD,mean_reversion,1.738737,32000,4800,8000,0,0,87360.00000000007,4656,MAX_POSITION
