id,captured_at,source,btc_dominance_pct,mcap_momentum,funding_rate,modifier_value,fallback_active,snapshot
775,2026-05-05T11:25:20.538Z,coingecko-global,58.769747,0.00000000,-0.00003617,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777980320538,""schema_version"":1,""totalMarketCapUsd"":2755377144291.923}"
774,2026-05-05T11:24:20.538Z,coingecko-global,58.769747,0.00000000,-0.00003636,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777980260538,""schema_version"":1,""totalMarketCapUsd"":2755377144291.923}"
773,2026-05-05T11:23:20.538Z,coingecko-global,58.769747,0.00000000,-0.00003655,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777980200538,""schema_version"":1,""totalMarketCapUsd"":2755377144291.923}"
772,2026-05-05T11:22:20.538Z,coingecko-global,58.769747,0.00000000,-0.00003668,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777980140538,""schema_version"":1,""totalMarketCapUsd"":2755377144291.923}"
771,2026-05-05T11:21:20.537Z,coingecko-global,58.769747,0.00000000,-0.00003668,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777980080537,""schema_version"":1,""totalMarketCapUsd"":2755377144291.923}"
770,2026-05-05T11:20:20.536Z,coingecko-global,58.769747,-0.00014821,-0.00003662,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777980020536,""schema_version"":1,""totalMarketCapUsd"":2755377144291.923}"
769,2026-05-05T11:19:20.536Z,coingecko-global,58.736629,0.00000000,-0.00003690,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979960536,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
768,2026-05-05T11:18:20.536Z,coingecko-global,58.736629,0.00000000,-0.00003690,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979900536,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
767,2026-05-05T11:17:20.535Z,coingecko-global,58.736629,0.00000000,-0.00003654,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979840535,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
766,2026-05-05T11:16:20.534Z,coingecko-global,58.736629,0.00000000,-0.00003626,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979780534,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
765,2026-05-05T11:15:20.534Z,coingecko-global,58.736629,0.00000000,-0.00003668,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979720534,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
764,2026-05-05T11:14:20.534Z,coingecko-global,58.736629,0.00000000,-0.00003668,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979660534,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
763,2026-05-05T11:13:20.533Z,coingecko-global,58.736629,0.00000000,-0.00003632,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979600533,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
762,2026-05-05T11:12:20.532Z,coingecko-global,58.736629,0.00000000,-0.00003581,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979540532,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
761,2026-05-05T11:11:20.531Z,coingecko-global,58.736629,0.00000000,-0.00003581,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979480531,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
760,2026-05-05T11:10:20.531Z,coingecko-global,58.736629,0.00003848,-0.00003543,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979420531,""schema_version"":1,""totalMarketCapUsd"":2755785586140.913}"
759,2026-05-05T11:09:20.532Z,coingecko-global,58.728980,0.00000000,-0.00003501,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979360532,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
758,2026-05-05T11:08:20.531Z,coingecko-global,58.728980,0.00000000,-0.00003501,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979300531,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
757,2026-05-05T11:07:20.531Z,coingecko-global,58.728980,0.00000000,-0.00003468,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979240531,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
756,2026-05-05T11:06:20.531Z,coingecko-global,58.728980,0.00000000,-0.00003436,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979180531,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
755,2026-05-05T11:05:20.530Z,coingecko-global,58.728980,0.00000000,-0.00003437,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979120530,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
754,2026-05-05T11:04:20.530Z,coingecko-global,58.728980,0.00000000,-0.00003437,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979060530,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
753,2026-05-05T11:03:20.529Z,coingecko-global,58.728980,0.00000000,-0.00003469,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777979000529,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
752,2026-05-05T11:02:20.528Z,coingecko-global,58.728980,0.00000000,-0.00003503,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777978940528,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
751,2026-05-05T11:01:20.528Z,coingecko-global,58.728980,0.00000000,-0.00003503,,false,"{""windowSizes"":{""btcDom"":720,""funding"":720,""mcapMomentum"":720},""lastSuccessAt"":1777978880528,""schema_version"":1,""totalMarketCapUsd"":2755679535324.972}"
