id,captured_at,symbol,exchange,asset_class,mode,source,regime_label,regime_confidence,dbs_score,dbs_category,atr_pct,confidence_modulated,features,modulators,scan_stage_decision
37717,2026-05-05T11:25:18.009Z,USDT/GBP,kraken,crypto_spot,vts,mce-cycle,STRUCTURAL_TRANSITION,0.553319,0.156158,UP_WEAK,0.08992632,,"{""adx"":2.5641025640995005,""sma"":0.7389249999999999,""vwap"":0.7409098186933558,""phase"":""PRIME"",""low24h"":0.7369,""high24h"":0.74,""ohlcLen"":721,""momentum"":0.0035311693603151525,""volume24h"":5439064.4562843,""volatility"":0.00070940681363634,""currentPrice"":0.7387,""schema_version"":1,""phaseAgeSeconds"":17359}","{""dbs_slope"":-0.05698421680147209,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37716,2026-05-05T11:25:18.008Z,BTC/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.646635,0.399355,UP_MODERATE,0.42804128,,"{""adx"":52.95493388504142,""sma"":80463.825,""vwap"":75204.52588827649,""phase"":""EARLY"",""low24h"":78510,""high24h"":81303.3,""ohlcLen"":721,""momentum"":0.012075752340029146,""volume24h"":2283.08090245,""volatility"":0.003981348116046852,""currentPrice"":80840,""schema_version"":1,""phaseAgeSeconds"":419}","{""dbs_slope"":-0.007130264310271195,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37715,2026-05-05T11:25:18.001Z,IMX/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.525000,0.393340,UP_MODERATE,0.47369733,,"{""adx"":62.50000000000012,""sma"":0.17003000000000001,""vwap"":0.16517471224566468,""phase"":""EARLY"",""low24h"":0.1669,""high24h"":0.1733,""ohlcLen"":721,""momentum"":0,""volume24h"":164710.5687882,""volatility"":0.007749466253734378,""currentPrice"":0.1719,""schema_version"":1,""phaseAgeSeconds"":1380}","{""dbs_slope"":0.0037418974394551885,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37714,2026-05-05T11:25:18.000Z,FIDA/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.574217,0.382846,UP_MODERATE,0.24473204,,"{""adx"":48.275862068965594,""sma"":0.017123000000000003,""vwap"":0.017028720095684773,""phase"":""PRIME"",""low24h"":0.01684,""high24h"":0.01733,""ohlcLen"":721,""momentum"":0.008196721311475278,""volume24h"":1787512.94235879,""volatility"":0.011930092741210442,""currentPrice"":0.01722,""schema_version"":1,""phaseAgeSeconds"":12138}","{""dbs_slope"":0.017891866286247282,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37713,2026-05-05T11:25:17.999Z,FHE/USD,kraken,crypto_spot,vts,mce-cycle,IMPULSE_EXPANSION,0.799734,0.633815,UP_STRONG,5.03194480,,"{""adx"":56.78271308523405,""sma"":0.026083999999999996,""vwap"":0.02042945104385856,""phase"":""PRIME"",""low24h"":0.02075,""high24h"":0.0298,""ohlcLen"":721,""momentum"":0.2652784065187868,""volume24h"":5691442.32443,""volatility"":0.01911736699204593,""currentPrice"":0.02795,""schema_version"":1,""phaseAgeSeconds"":31399}","{""dbs_slope"":0.009561736245215613,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37712,2026-05-05T11:25:17.998Z,FHE/EUR,kraken,crypto_spot,vts,mce-cycle,IMPULSE_EXPANSION,0.794919,0.636364,UP_STRONG,4.74398040,,"{""adx"":51.622418879055985,""sma"":0.022274,""vwap"":0.017185546915563805,""phase"":""PRIME"",""low24h"":0.01773,""high24h"":0.02542,""ohlcLen"":721,""momentum"":0.2711323763955343,""volume24h"":2974286.17305,""volatility"":0.02003067505613519,""currentPrice"":0.02391,""schema_version"":1,""phaseAgeSeconds"":40699}","{""dbs_slope"":0.009756610495775142,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37711,2026-05-05T11:25:17.998Z,FARTCOIN/USDT,kraken,crypto_spot,vts,mce-cycle,HIGH_VOLATILITY_UNSTABLE,0.710028,0.358962,UP_MODERATE,0.75152654,,"{""adx"":49.99999999999984,""sma"":0.20944000000000002,""vwap"":0.20083040278725617,""phase"":""EARLY"",""low24h"":0.2033,""high24h"":0.2152,""ohlcLen"":721,""momentum"":-0.0032771535580524633,""volume24h"":86508.01637,""volatility"":0.015866659019702425,""currentPrice"":0.2129,""schema_version"":1,""phaseAgeSeconds"":719}","{""dbs_slope"":-0.021965551399641514,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37710,2026-05-05T11:25:17.997Z,FARTCOIN/EUR,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.537635,0.401300,UP_MODERATE,0.79539221,,"{""adx"":31.428571428571246,""sma"":0.17922,""vwap"":0.17110082656759817,""phase"":""LATE"",""low24h"":0.174,""high24h"":0.1839,""ohlcLen"":721,""momentum"":0.002750275027502753,""volume24h"":364707.70008,""volatility"":0.01545989210531795,""currentPrice"":0.1823,""schema_version"":1,""phaseAgeSeconds"":91315}","{""dbs_slope"":0.01970620101122078,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37709,2026-05-05T11:25:17.997Z,ETH/AUD,kraken,crypto_spot,vts,mce-cycle,STRUCTURAL_TRANSITION,0.604368,0.390691,UP_MODERATE,0.44661304,,"{""adx"":37.02911663102499,""sma"":3307.971,""vwap"":3219.544473153274,""phase"":""PRIME"",""low24h"":3240.89,""high24h"":3347,""ohlcLen"":721,""momentum"":0.008544098918233833,""volume24h"":93.21282034,""volatility"":0.005117669797343327,""currentPrice"":3315.59,""schema_version"":1,""phaseAgeSeconds"":10878}","{""dbs_slope"":-0.031964717995444036,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
37708,2026-05-05T11:25:17.995Z,EIGEN/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.658097,0.353592,UP_MODERATE,0.86888454,,"{""adx"":70.90909090909146,""sma"":0.178575,""vwap"":0.17816305558793427,""phase"":""EARLY"",""low24h"":0.1716,""high24h"":0.1838,""ohlcLen"":721,""momentum"":0.029708520179372193,""volume24h"":787124.5776,""volatility"":0.009316123858697454,""currentPrice"":0.1825,""schema_version"":1,""phaseAgeSeconds"":900}","{""dbs_slope"":0.1764482920962192,""schema_version"":1,""macro_modifier_value"":1.05}","{""stage"":""admitted_to_mce"",""admitted"":true,""schema_version"":1}"
