id,captured_at,symbol,exchange,asset_class,mode,source,regime_label,regime_confidence,dbs_score,dbs_category,atr_pct,confidence_modulated,features__adx,features__sma,features__vwap,features__phase,features__low24h,features__high24h,features__ohlcLen,features__momentum,features__volume24h,features__volatility,features__currentPrice,features__phaseAgeSeconds,modulators__dbs_slope,modulators__macro_modifier_value,scan_stage_decision__stage,scan_stage_decision__admitted
38395,2026-05-05T11:37:18.043Z,LINK/USDT,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.757047,0.499167,UP_MODERATE,0.60559768,,52.90628264438143,9.490970999999998,9.224309496523135,EARLY,9.3485,9.69234,721,0.03824034270221728,26298.43747011,0.005630441115235556,9.66554,4919,0.0012978834949046725,1.05,admitted_to_mce,true
38394,2026-05-05T11:37:18.042Z,JUP/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.700379,0.417321,UP_MODERATE,0.65230336,,50.63613231552192,0.1818575,0.17724365640062242,EARLY,0.1766,0.18642,721,0.03137736586455259,532604.06341,0.007489536967740401,0.18473,2460,0.014458176761663555,1.05,admitted_to_mce,true
38393,2026-05-05T11:37:18.035Z,IMX/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.525000,0.393340,UP_MODERATE,0.47369733,,62.50000000000012,0.17003000000000001,0.16517471224566468,EARLY,0.1669,0.1733,721,0,164139.4584862,0.007749466253734378,0.1719,2100,0.0037418974394551885,1.05,admitted_to_mce,true
38392,2026-05-05T11:37:18.035Z,FIDA/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.574217,0.382846,UP_MODERATE,0.24473204,,48.275862068965594,0.017123000000000003,0.017028720095684773,PRIME,0.01684,0.01733,721,0.008196721311475278,1746489.46542866,0.011930092741210442,0.01722,12858,0.017891866286247282,1.05,admitted_to_mce,true
38391,2026-05-05T11:37:18.030Z,BLUR/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.581341,0.350081,UP_MODERATE,1.30576714,,60.2409638554218,0.026810499999999998,0.027648008781456006,EARLY,0.02593,0.02785,721,0.027964205816554833,4487528.88621,0.018294300946378912,0.02757,3359,0.20500279101889007,1.05,admitted_to_mce,true
38390,2026-05-05T11:37:17.613Z,LTC/USD,kraken,crypto_spot,vts,mce-cycle,RANGE_BOUND_STABLE,0.890968,0.003941,NEUTRAL,0.40761219,,3.0927835051547587,55.205499999999994,55.136285251343395,PRIME,54.8,55.74,721,-0.010509440684004336,57727.28901984,0.003788217126502554,55.55,16158,0.05633109611461823,1.05,admitted_to_mce,true
38389,2026-05-05T11:37:17.607Z,LTC/EUR,kraken,crypto_spot,vts,mce-cycle,RANGE_BOUND_STABLE,0.892579,0.052883,NEUTRAL,0.41654135,,3.3707865168540567,47.229000000000006,47.10490341128982,LATE,46.86,47.61,721,-0.0064826432455040205,30638.69308795,0.0036604351177228008,47.5,86996,0.04629921404724972,1.05,admitted_to_mce,true
38388,2026-05-05T11:36:18.268Z,APE/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.525000,-0.366420,DOWN_MODERATE,0.87171481,,23.076923076923403,0.16273000000000004,0.16213002277701452,EARLY,0.16,0.1698,721,-0.016052318668251964,1302846.87009036,0.025603708694794624,0.1647,3480,0.18895880399037518,1.05,admitted_to_mce,true
38387,2026-05-05T11:36:18.266Z,BTC/USD,kraken,crypto_spot,vts,mce-cycle,TREND_FRIENDLY_STABLE,0.664190,0.406356,UP_MODERATE,0.42719577,,52.95493388504142,80469.83499999999,75205.12644138144,EARLY,78510,81303.3,721,0.013580682802726366,2276.31326622,0.003981630078784902,81000,1080,-0.000129987758825445,1.05,admitted_to_mce,true
38386,2026-05-05T11:36:18.264Z,ETH/JPY,kraken,crypto_spot,vts,mce-cycle,STRUCTURAL_TRANSITION,0.621696,0.561548,UP_MODERATE,0.10935731,,15.77287066246057,372171.85,364908.8738926127,PRIME,369394,372697,715,0.0024206757988902545,0.01177941,0.008418269133792556,372697,30919,-0.028499636079412305,1.05,admitted_to_mce,true
