population,symbol,hour_utc,n,median,p90
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 09:00:00+00:00,4,54.794520547945254,55.00584927733127
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 10:00:00+00:00,7,54.49591280653956,77.01389519571347
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 11:00:00+00:00,12,53.908355795148296,101.70627577263268
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 12:00:00+00:00,6,54.200542005420104,54.49591280653956
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 13:00:00+00:00,8,54.794520547945254,71.53452607998068
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 14:00:00+00:00,13,55.09641873278242,109.17082442385374
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 15:00:00+00:00,13,54.200542005420104,108.10810810810821
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 16:00:00+00:00,9,53.908355795148296,108.69565217391315
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 17:00:00+00:00,18,54.200542005420104,108.10810810810821
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 18:00:00+00:00,20,53.33333333333338,104.22120418848176
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 19:00:00+00:00,11,51.67958656330754,51.94805194805199
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 20:00:00+00:00,11,52.49343832021002,104.71204188481684
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 21:00:00+00:00,27,52.77044854881271,105.48593706488452
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 22:00:00+00:00,10,52.35637973451756,105.26315789473693
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-03 23:00:00+00:00,8,78.33005249343839,104.71204188481684
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 00:00:00+00:00,24,53.05039787798413,105.82010582010591
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 01:00:00+00:00,20,53.76382937210501,106.95187165775411
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 02:00:00+00:00,11,53.908355795148296,108.10810810810821
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 03:00:00+00:00,20,53.33333333333338,106.95187165775411
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 04:00:00+00:00,10,53.61930294906171,53.61930294906171
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 05:00:00+00:00,10,53.76382937210501,107.5268817204302
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 06:00:00+00:00,18,53.05039787798413,105.98896769109544
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 07:00:00+00:00,4,52.21932114882511,88.96422566401932
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 08:00:00+00:00,10,52.21932114882511,104.22120418848176
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 09:00:00+00:00,18,53.05039787798413,106.38297872340435
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 10:00:00+00:00,7,53.33333333333338,74.95233043253869
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 11:00:00+00:00,4,53.05039787798413,53.248452696728606
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 12:00:00+00:00,20,106.10751477624552,108.1668625146887
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 13:00:00+00:00,15,106.38297872340435,107.5268817204302
crypto_spot; valid archived quotes per symbol/hour UTC,0G/USD,2026-09-04 14:00:00+00:00,14,105.82010582010591,106.21411685241482
