population,symbol,hour_utc,n,median,p90
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 00:00:00+00:00,26,418.74772599477467,2273.173927284637
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 01:00:00+00:00,1,1553.6472213996653,1553.6472213996653
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 02:00:00+00:00,2,976.6687022304801,989.5654340849363
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 05:00:00+00:00,2,1671.2436249509615,1671.2436249509615
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 06:00:00+00:00,1,1671.2436249509615,1671.2436249509615
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 07:00:00+00:00,3,1671.2436249509615,1671.2436249509615
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 08:00:00+00:00,6,656.4888782473731,1237.2268952375603
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 10:00:00+00:00,4,565.270569567949,565.270569567949
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 11:00:00+00:00,9,529.9805299805302,529.9805299805302
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 12:00:00+00:00,5,531.2654677445973,531.2654677445973
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 13:00:00+00:00,129,44.89563440211662,395.4145206844983
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 14:00:00+00:00,619,20.760087058429754,35.67251771415377
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 15:00:00+00:00,632,13.30318658172792,19.36677854284318
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 16:00:00+00:00,646,11.902795424666484,17.162849032938865
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 17:00:00+00:00,629,9.949918742330649,14.601446870644377
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 18:00:00+00:00,636,9.254975559955318,13.883379626435948
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 19:00:00+00:00,701,9.276437847867397,14.628632222887086
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 20:00:00+00:00,214,5.973517406166223,15.749810535164935
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 21:00:00+00:00,50,2015.68232501259,2015.68232501259
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 22:00:00+00:00,61,2015.68232501259,2015.68232501259
xstock_spot; valid archived quotes per symbol/hour UTC,A/USD,2026-09-04 23:00:00+00:00,65,2015.68232501259,2015.68232501259
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 00:00:00+00:00,301,7.319974380089947,11.584659471983278
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 01:00:00+00:00,222,6.097560975611143,9.139375476007753
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 02:00:00+00:00,201,4.874779111572269,7.615566217348261
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 03:00:00+00:00,181,4.569618132244056,7.005040583549159
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 04:00:00+00:00,230,4.264002680229841,5.818060690960874
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 05:00:00+00:00,210,4.5707320789206145,5.790652667509797
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 06:00:00+00:00,346,10.069727328195485,13.281406503949187
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 07:00:00+00:00,306,11.924053024691629,16.353716911569823
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 08:00:00+00:00,362,14.218478343022905,32.06351629895446
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 09:00:00+00:00,315,18.343014368693545,21.581173536511205
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 10:00:00+00:00,447,15.943095413295275,32.73723018556175
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 11:00:00+00:00,489,11.93372194427828,26.91625374686473
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 12:00:00+00:00,565,11.614046884073336,26.957480700894358
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 13:00:00+00:00,678,6.866639230602468,17.40112649397982
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 14:00:00+00:00,893,1.2462223883858448,2.1671759742835315
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 15:00:00+00:00,895,0.9406895254230614,1.5643136393396853
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 16:00:00+00:00,890,0.9347687226376903,1.557418920907336
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 17:00:00+00:00,890,0.9331695102406866,1.2462223883858448
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 18:00:00+00:00,887,0.6231694397701069,1.2459118517371273
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 19:00:00+00:00,883,0.6231111941938079,1.243464042319692
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 20:00:00+00:00,689,1.8749999999982947,9.385265133740385
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 21:00:00+00:00,504,5.314409866046108,11.255275910581734
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 22:00:00+00:00,489,5.623242736645011,7.497188554292425
xstock_spot; valid archived quotes per symbol/hour UTC,AAPL/USD,2026-09-04 23:00:00+00:00,408,3.5925419103782814,4.997969574859218
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 00:00:00+00:00,45,447.680272635737,2004.220249233586
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 01:00:00+00:00,13,229.1099957856028,229.1099957856028
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 02:00:00+00:00,8,229.1099957856028,229.1099957856028
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 03:00:00+00:00,11,229.1099957856028,229.1099957856028
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 04:00:00+00:00,15,229.1099957856028,229.1099957856028
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 05:00:00+00:00,12,229.1099957856028,229.1099957856028
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 06:00:00+00:00,10,210.52631578947367,229.1099957856028
xstock_spot; valid archived quotes per symbol/hour UTC,ABBV/USD,2026-09-04 07:00:00+00:00,236,130.28690020945777,174.4799156360852
