population,asset_class,symbol,rows,valid_spreads,first,last,span_s,observed_rows_per_hour_span,spread_bps_p10,spread_bps_p50,spread_bps_p90,spread_bps_p95,spread_bps_p99,receipt_gap_s_p10,receipt_gap_s_p50,receipt_gap_s_p90,receipt_gap_s_p95,receipt_gap_s_p99,typical_1m_range_bps_same_archive_window,fraction_spread_ge_half_typical_range,fraction_spread_ge_typical_range,observed_quote_lattice_gcd,minimum_observed_price_separation,distinct_valid_side_prices
crypto_spot; archived observations; 2026-09-03T09:21:46.295000+00:00 to 2026-09-06T08:52:36.887000+00:00,crypto_spot,0G/USD,795,795,2026-09-03T09:21:46.295000+00:00,2026-09-06T08:52:36.887000+00:00,257450.592,11.116696130960927,50.73598093213519,54.200542005420104,105.82010582010591,107.5268817204302,108.73129009265865,13.1103,159.0,832.6638,1114.8178499999995,2294.7876299999884,0.0,,,0.001,0.001,29
crypto_spot; archived observations; 2026-09-03T09:35:52.421000+00:00 to 2026-09-05T07:49:43.373000+00:00,crypto_spot,1INCH/USD,208,208,2026-09-03T09:35:52.421000+00:00,2026-09-05T07:49:43.373000+00:00,166430.952,4.49916311239991,10.816657652785599,21.551749163650335,33.138322334998726,40.20964835835942,117.2580170638431,17.3474,293.235,2134.2204,3243.3348999999985,5264.113479999998,0.0,,,0.0001,0.0001,60
crypto_spot; archived observations; 2026-09-03T09:14:14.290000+00:00 to 2026-09-06T08:48:51.466000+00:00,crypto_spot,2Z/USD,569,569,2026-09-03T09:14:14.290000+00:00,2026-09-06T08:48:51.466000+00:00,257677.176,7.94948171893967,9.495774380399675,16.96033166870815,25.23634825848494,30.52518397497669,49.79707053027636,11.889899999999999,132.76549999999997,1313.2866000000004,1935.1312999999984,4362.1222099999995,0.0,,,1e-05,1e-05,340
crypto_spot; archived observations; 2026-09-03T09:28:25.377000+00:00 to 2026-09-06T08:12:33.640000+00:00,crypto_spot,A/USD,344,344,2026-09-03T09:28:25.377000+00:00,2026-09-06T08:12:33.640000+00:00,254648.263,4.863178666174527,12.623079207110978,37.3831775700928,49.382716049382424,51.80341714201418,77.48640630220977,8.824,188.005,2028.692800000001,3493.6203999999984,5774.238059999998,0.0,,,0.0001,0.0001,54
crypto_spot; archived observations; 2026-09-03T09:14:32.675000+00:00 to 2026-09-06T09:13:13.367000+00:00,crypto_spot,AAVE/USD,4976,4976,2026-09-03T09:14:32.675000+00:00,2026-09-06T09:13:13.367000+00:00,259120.692,69.13226366345147,0.7666066203207241,6.050979640777246,10.033574838148503,11.821649179183789,19.061862079323323,5.7408,25.87,126.26460000000009,187.70930000000018,365.91974000000016,1.532802106037836,0.9003215434083601,0.8392282958199357,0.01,0.01,1096
crypto_spot; archived observations; 2026-09-03T09:17:53.114000+00:00 to 2026-09-06T09:07:03.179000+00:00,crypto_spot,ACH/USD,592,592,2026-09-03T09:17:53.114000+00:00,2026-09-06T09:07:03.179000+00:00,258550.065,8.242890985156007,18.433179723501553,36.56307129798913,38.834951456310776,54.63028629017212,78.31024930747999,15.358,212.394,1177.362,1682.0205,3036.3064000000018,0.0,,,1e-05,1e-05,53
crypto_spot; archived observations; 2026-09-03T09:30:25.620000+00:00 to 2026-09-06T09:12:00.049000+00:00,crypto_spot,ACT/USD,202,202,2026-09-03T09:30:25.620000+00:00,2026-09-06T09:12:00.049000+00:00,258094.429,2.8175734083744985,17.940442951018568,27.272732907589912,53.93749516515912,62.910077137121476,111.2408895295845,10.006,282.065,2442.121,3042.683,8205.573,0.0,,,1e-05,1e-05,81
crypto_spot; archived observations; 2026-09-03T09:14:42.443000+00:00 to 2026-09-06T09:11:14.010000+00:00,crypto_spot,ACU/USD,5295,5295,2026-09-03T09:14:42.443000+00:00,2026-09-06T09:11:14.010000+00:00,258991.567,73.6008520308308,7.249003262052681,15.071590052750999,28.200792985782954,30.911901081915275,45.38784055081483,5.2103,20.0805,125.5951,188.10859999999997,404.424699999999,7.4794315632003725,1.0,0.8447592067988668,0.0001,0.0001,309
crypto_spot; archived observations; 2026-09-03T09:13:46.703000+00:00 to 2026-09-06T09:12:52.209000+00:00,crypto_spot,ADA/USD,13147,13147,2026-09-03T09:13:46.703000+00:00,2026-09-06T09:12:52.209000+00:00,259145.506,182.63561938828298,0.0464029586526901,1.215364913315189,5.5596496994831295,7.062438866502621,10.753807260338627,4.994,12.719999999999999,42.289,58.28725,103.86249999999987,6.300559177210886,0.2646991709135164,0.07195557921959382,1e-06,1e-06,12122
crypto_spot; archived observations; 2026-09-03T09:17:48.142000+00:00 to 2026-09-06T09:11:50.871000+00:00,crypto_spot,ADA/USDC,2483,2483,2026-09-03T09:17:48.142000+00:00,2026-09-06T09:11:50.871000+00:00,258842.729,34.53371100874153,0.8710670258548404,5.147470514927799,11.055442388712832,13.905213023301892,34.13927828019916,6.8582,47.953500000000005,277.2590000000002,394.06659999999977,750.7938,1.170477848915533,0.9194522754732178,0.8819975835682642,1e-06,1e-06,4023
crypto_spot; archived observations; 2026-09-03T09:13:46.703000+00:00 to 2026-09-06T09:11:32.903000+00:00,crypto_spot,ADA/USDT,3342,3342,2026-09-03T09:13:46.703000+00:00,2026-09-06T09:11:32.903000+00:00,259066.2,46.44063949677727,0.13633333062548814,2.741417371830711,7.938668757753582,10.301063579018154,17.352619401278385,6.952,41.514,186.415,274.525,514.6625999999991,1.5473049231312774,0.7836624775583483,0.6295631358467983,1e-06,1e-06,5222
