population,asset_class,symbol,rows,valid_spreads,first,last,span_s,observed_rows_per_hour_span,spread_bps_p10,spread_bps_p50,spread_bps_p90,spread_bps_p95,spread_bps_p99,receipt_gap_s_p10,receipt_gap_s_p50,receipt_gap_s_p90,receipt_gap_s_p95,receipt_gap_s_p99,typical_1m_range_bps_same_archive_window,fraction_spread_ge_half_typical_range,fraction_spread_ge_typical_range,observed_quote_lattice_gcd,minimum_observed_price_separation,distinct_valid_side_prices
xstock_spot; archived observations; 2026-09-04T00:00:59.586000+00:00 to 2026-09-04T23:59:59.620000+00:00,xstock_spot,A/USD,4441,4441,2026-09-04T00:00:59.586000+00:00,2026-09-04T23:59:59.620000+00:00,86340.034,185.17018420446766,6.662225183210813,11.348843419338928,32.180209171360836,487.3230161343434,2015.68232501259,4.095,5.074999999999999,9.3351,39.84320000000002,60.071659999999994,1.9841282338928905,1.0,0.9995496509795091,0.01,0.01,362
xstock_spot; archived observations; 2026-09-04T00:00:08.612000+00:00 to 2026-09-04T23:59:55.280000+00:00,xstock_spot,AAPL/USD,12281,12281,2026-09-04T00:00:08.612000+00:00,2026-09-04T23:59:55.280000+00:00,86386.668,511.7873049577511,0.6227425582276328,2.1685589925492397,15.316281206922959,21.091564902413236,31.7576645902046,4.004,4.195,12.880500000000003,18.602149999999927,37.742579999999826,2.1766175922333937,0.6886247048285971,0.49947072713948376,0.01,0.01,958
xstock_spot; archived observations; 2026-09-04T00:00:32.534000+00:00 to 2026-09-04T23:59:42.694000+00:00,xstock_spot,ABBV/USD,5703,5703,2026-09-04T00:00:32.534000+00:00,2026-09-04T23:59:42.694000+00:00,86350.16,237.762153538569,3.5181674256788464,7.021376189733453,121.49640509054653,148.0108874699028,229.88505747126436,4.052,4.612,8.030200000000015,31.493849999999977,276.4492999999994,2.483674418172594,0.998246536910398,0.9761529019814132,0.01,0.01,410
xstock_spot; archived observations; 2026-09-04T00:00:31.131000+00:00 to 2026-09-04T23:45:02.453000+00:00,xstock_spot,ABNB/USD,5596,5596,2026-09-04T00:00:31.131000+00:00,2026-09-04T23:45:02.453000+00:00,85471.322,235.7001100322281,3.2864106917895755,8.236327702232227,133.88037141006205,144.59911513974353,147.51628072496868,4.0694,4.882,7.3274000000000035,12.101100000000013,229.12972000000215,3.0126256401833222,0.9976769120800572,0.9253037884203003,0.01,0.01,337
xstock_spot; archived observations; 2026-09-04T00:00:32.600000+00:00 to 2026-09-04T23:53:13.414000+00:00,xstock_spot,ABT/USD,5574,5574,2026-09-04T00:00:32.600000+00:00,2026-09-04T23:53:13.414000+00:00,85960.814,233.43659821555437,2.7296301351167953,4.551454189613323,37.441978438759996,117.22551493011382,205.3132845357962,4.037,4.45,6.499,16.603199999999998,209.54471999999814,3.652968066995757,0.9702188733405095,0.6385001794043774,0.01,0.01,247
xstock_spot; archived observations; 2026-09-04T00:00:22.480000+00:00 to 2026-09-04T23:56:40.768000+00:00,xstock_spot,ACN/USD,5590,5590,2026-09-04T00:00:22.480000+00:00,2026-09-04T23:56:40.768000+00:00,86178.288,233.51589439790217,3.750214298928233,7.416825619459852,87.51015274975701,300.6739243131162,310.88082901554407,4.0447999999999995,4.577,10.25539999999999,34.490599999999986,260.6442799999995,5.4577976229717216,0.9627906976744186,0.6892665474060823,0.01,0.01,512
xstock_spot; archived observations; 2026-09-04T00:00:31.469000+00:00 to 2026-09-04T23:59:54.566000+00:00,xstock_spot,ADBE/USD,9625,9625,2026-09-04T00:00:31.469000+00:00,2026-09-04T23:59:54.566000+00:00,86363.097,401.2130319967567,3.352517181649624,9.755365450997708,56.615834170395814,73.44201805893076,94.92014797437501,4.029,4.601,18.084900000000033,29.381750000000014,62.249320000000054,4.982206405693464,0.9588571428571429,0.7591688311688312,0.01,0.01,975
xstock_spot; archived observations; 2026-09-04T00:00:00.684000+00:00 to 2026-09-04T23:59:13.627000+00:00,xstock_spot,ADI/USD,5412,5412,2026-09-04T00:00:00.684000+00:00,2026-09-04T23:59:13.627000+00:00,86352.943,225.6228835188628,3.325481502009271,6.897217709643083,95.39985966106397,211.83438376349795,367.1453799829211,4.055,4.615,8.599,30.1555,305.6599999999995,4.13644761878436,0.991130820399113,0.8203991130820399,0.01,0.01,580
xstock_spot; archived observations; 2026-09-04T00:11:35.795000+00:00 to 2026-09-04T23:45:07.408000+00:00,xstock_spot,AEE/USD,4275,4275,2026-09-04T00:11:35.795000+00:00,2026-09-04T23:45:07.408000+00:00,84811.613,181.4609987431792,3.7576326914036677,6.576783952646514,19.7210874771102,53.50354343642871,772.7860972453318,4.105,5.0504999999999995,9.166400000000007,12.638599999999997,149.2456499999971,0.9393199323681107,1.0,0.9992982456140351,0.01,0.01,211
xstock_spot; archived observations; 2026-09-04T00:00:59.685000+00:00 to 2026-09-04T23:59:59.629000+00:00,xstock_spot,AEP/USD,5128,5128,2026-09-04T00:00:59.685000+00:00,2026-09-04T23:59:59.629000+00:00,86339.944,213.81528808960078,3.991537939569023,7.195107373004025,78.70754259148694,301.92944215709974,322.5806451612903,4.07,4.783,9.1094,59.9617,280.8672599999982,1.5955962790200235,1.0,0.999609984399376,0.01,0.01,203
