population,mode,trade_mode,strategy_name,asset_class,close_reason,n,open_min,open_max,close_min,close_max,missing_close
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,defensive_hedge,crypto_spot,never_filled,1,2026-07-24 17:18:47.083000+00:00,2026-07-24 17:18:47.083000+00:00,2026-07-24 18:18:47.263000+00:00,2026-07-24 18:18:47.263000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,defensive_hedge,crypto_spot,stop_hit,1,2026-07-19 06:17:19.267000+00:00,2026-07-19 06:17:19.267000+00:00,2026-07-19 09:17:35.177000+00:00,2026-07-19 09:17:35.177000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,defensive_hedge,crypto_spot,target_hit,7,2026-07-15 16:43:32.830000+00:00,2026-08-29 01:35:30.273000+00:00,2026-07-21 14:45:13.824000+00:00,2026-08-30 12:08:18.548000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,inside_bar_reversal,crypto_spot,never_filled,11,2026-07-15 19:17:03.240000+00:00,2026-08-01 12:47:40.974000+00:00,2026-07-15 20:17:03.394000+00:00,2026-08-01 13:47:42.106000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,inside_bar_reversal,crypto_spot,stop_hit,21,2026-07-15 06:29:16.147000+00:00,2026-08-29 11:00:30.904000+00:00,2026-07-15 07:09:40.402000+00:00,2026-08-30 03:58:02.481000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,inside_bar_reversal,crypto_spot,target_hit,35,2026-07-15 06:17:16.286000+00:00,2026-08-01 12:20:10.392000+00:00,2026-07-16 02:13:51.173000+00:00,2026-08-01 12:38:50.466000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,inside_bar_reversal,crypto_spot,trailing_stop_hit,1,2026-07-30 14:06:55.971000+00:00,2026-07-30 14:06:55.971000+00:00,2026-07-30 16:58:30.585000+00:00,2026-07-30 16:58:30.585000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,mean_reversion,crypto_spot,stop_hit,1,2026-08-30 08:06:32.359000+00:00,2026-08-30 08:06:32.359000+00:00,2026-08-30 09:51:40.078000+00:00,2026-08-30 09:51:40.078000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,mean_reversion,crypto_spot,target_hit,1,2026-08-09 07:18:14.078000+00:00,2026-08-09 07:18:14.078000+00:00,2026-08-09 08:50:01.234000+00:00,2026-08-09 08:50:01.234000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,morning_star,crypto_spot,never_filled,13,2026-07-15 06:27:46.276000+00:00,2026-09-01 11:06:44.895000+00:00,2026-07-15 07:27:46.763000+00:00,2026-09-01 12:06:45.427000+00:00,0
supplied paper/TARGET table records; inventory only; deploy strata unknown; not a survival risk set,paper,TARGET,morning_star,crypto_spot,stop_hit,63,2026-07-15 05:58:04.916000+00:00,2026-09-03 08:15:17.332000+00:00,2026-07-15 06:18:24.493000+00:00,2026-09-03 10:29:34.563000+00:00,0
