population,asset_class,symbol,horizon_min,n_origins,rung,execution,hurdle_bps,fraction_signed_endpoint_above_hurdle,fraction_future_up_excursion_above_hurdle
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,1,TT,161.290322580645,0.16326530612244897,0.25
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,1,MT,120.96774193548487,0.20918367346938777,0.3673469387755102
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,1,MM,80.32128514056325,0.3112244897959184,0.5255102040816326
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,2,TT,120.72434607645954,0.20918367346938777,0.3673469387755102
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,2,MT,90.54325955734299,0.25510204081632654,0.42857142857142855
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,2,MM,60.18054162487463,0.3163265306122449,0.5408163265306123
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,3,TT,76.28990162618088,0.3163265306122449,0.5408163265306123
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,3,MT,60.22886970487917,0.3163265306122449,0.5408163265306123
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,3,MM,44.09701342954486,0.3520408163265306,0.5867346938775511
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,4,TT,70.2458605117906,0.3163265306122449,0.5408163265306123
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,4,MT,55.19317611640595,0.3163265306122449,0.5408163265306123
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,4,MM,40.080160320641326,0.413265306122449,0.6632653061224489
"crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim; conditional fee-only scenario, pair fee eligibility unverified",crypto_spot,0G/USD,5,196,5,TT,60.18054162487463,0.3163265306122449,0.5408163265306123
