asset_class,rung,execution,entry_rate,exit_rate,equal_notional_fee_bps,exact_long_fee_breakeven_bps,population
crypto_spot,1,TT,0.008,0.008,160.0,161.290322580645,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,1,MT,0.004,0.008,120.0,120.96774193548487,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,1,MM,0.004,0.004,80.0,80.32128514056325,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,2,TT,0.006,0.006,120.0,120.72434607645954,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,2,MT,0.003,0.006,90.00000000000001,90.54325955734299,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,2,MM,0.003,0.003,60.0,60.18054162487463,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,3,TT,0.0038,0.0038,76.0,76.28990162618088,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,3,MT,0.0022,0.0038,60.0,60.22886970487917,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,3,MM,0.0022,0.0022,44.0,44.09701342954486,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,4,TT,0.0035,0.0035,70.0,70.2458605117906,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,4,MT,0.002,0.0035,55.0,55.19317611640595,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,4,MM,0.002,0.002,40.0,40.080160320641326,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,5,TT,0.003,0.003,60.0,60.18054162487463,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,5,MT,0.0015,0.003,45.00000000000001,45.13540621865708,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,5,MM,0.0015,0.0015,30.0,30.04506760140302,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,6,TT,0.0025,0.0025,50.0,50.12531328320691,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,6,MT,0.0012,0.0025,37.0,37.09273182957329,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,6,MM,0.0012,0.0012,23.999999999999996,24.02883460152161,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,7,TT,0.0022,0.0022,44.0,44.09701342954486,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,7,MT,0.001,0.0022,32.0,32.07055522148616,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,7,MM,0.001,0.001,20.0,20.02002002001957,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,8,TT,0.002,0.002,40.0,40.080160320641326,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,8,MT,0.0008,0.002,28.0,28.05611222444826,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,8,MM,0.0008,0.0008,16.0,16.012810248198228,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,9,TT,0.0018,0.0018,36.0,36.06491685033131,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,9,MT,0.0006,0.0018,23.999999999999996,24.043277900220872,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,9,MM,0.0006,0.0006,11.999999999999998,12.007204322592724,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,10,TT,0.0015,0.0015,30.0,30.04506760140302,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,10,MT,0.0004,0.0015,19.0,19.028542814221172,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,10,MM,0.0004,0.0004,8.0,8.003201280510908,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
crypto_spot,11,TT,0.0012,0.0012,23.999999999999996,24.02883460152161,"conditional supplied fee ladder; no spread, depth, queue or slippage; not a verified fee-group assignment per symbol"
