population,asset_class,symbol,horizon_min,valid_origins,potential_row_offset_origins,origins_rejected_for_gaps,signed_endpoint_bps_p10,signed_endpoint_bps_p50,signed_endpoint_bps_p90,signed_endpoint_bps_p99,absolute_endpoint_bps_p10,absolute_endpoint_bps_p50,absolute_endpoint_bps_p90,absolute_endpoint_bps_p99,future_up_excursion_bps_p10,future_up_excursion_bps_p50,future_up_excursion_bps_p90,future_up_excursion_bps_p99,future_down_excursion_bps_p10,future_down_excursion_bps_p50,future_down_excursion_bps_p90,future_down_excursion_bps_p99
crypto_spot; 0G/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,0G/USD,5,196,1817,1621,-241.93548387096752,0.0,212.80063749637645,408.2469053195053,0.0,106.38297872340496,300.8702391139378,408.2469053195053,-40.32258064516125,81.30081300812941,267.4102674102674,530.6039488966335,0.0,81.63265306122436,308.3700440528636,403.5874439461884
crypto_spot; 0G/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,0G/USD,15,38,1807,1769,-286.2985998345542,-41.58022130013816,447.7020076323212,572.9039812646369,41.666666666666515,198.82680327609648,447.7020076323212,572.9039812646369,27.888446215139425,246.9512195121959,541.3472706155644,614.7540983606569,0.0,126.07045113445736,399.9606953352515,442.7579365079372
crypto_spot; 0G/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,0G/USD,60,0,1762,1762,,,,,,,,,,,,,,,,
crypto_spot; 0G/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,0G/USD,240,0,1582,1582,,,,,,,,,,,,,,,,
crypto_spot; 1INCH/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,1INCH/USD,5,1,358,357,-11.261261261261701,-11.261261261261701,-11.261261261261701,-11.261261261261701,11.261261261261701,11.261261261261701,11.261261261261701,11.261261261261701,33.78378378378288,33.78378378378288,33.78378378378288,33.78378378378288,11.261261261261701,11.261261261261701,11.261261261261701,11.261261261261701
crypto_spot; 1INCH/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,1INCH/USD,15,0,348,348,,,,,,,,,,,,,,,,
crypto_spot; 1INCH/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,1INCH/USD,60,0,303,303,,,,,,,,,,,,,,,,
crypto_spot; 1INCH/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,1INCH/USD,240,0,123,123,,,,,,,,,,,,,,,,
crypto_spot; 2Z/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,2Z/USD,5,2,954,952,-107.15384629066071,-103.00261630647233,-98.85138632228396,-97.91735957584157,98.85138632228396,103.00261630647233,107.15384629066071,108.0878730371031,-1.146523833999713,1.9390340712716059,5.024591976542925,5.718842505228971,109.2635509320109,113.55113951322326,117.83872809443562,118.80343552520841
crypto_spot; 2Z/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,2Z/USD,15,0,944,944,,,,,,,,,,,,,,,,
crypto_spot; 2Z/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,2Z/USD,60,0,899,899,,,,,,,,,,,,,,,,
crypto_spot; 2Z/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,crypto_spot,2Z/USD,240,0,719,719,,,,,,,,,,,,,,,,
crypto_spot; A/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,crypto_spot,A/USD,5,0,429,429,,,,,,,,,,,,,,,,
crypto_spot; A/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,crypto_spot,A/USD,15,0,419,419,,,,,,,,,,,,,,,,
crypto_spot; A/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,crypto_spot,A/USD,60,0,374,374,,,,,,,,,,,,,,,,
