population,asset_class,symbol,horizon_min,valid_origins,potential_row_offset_origins,origins_rejected_for_gaps,signed_endpoint_bps_p10,signed_endpoint_bps_p50,signed_endpoint_bps_p90,signed_endpoint_bps_p99,absolute_endpoint_bps_p10,absolute_endpoint_bps_p50,absolute_endpoint_bps_p90,absolute_endpoint_bps_p99,future_up_excursion_bps_p10,future_up_excursion_bps_p50,future_up_excursion_bps_p90,future_up_excursion_bps_p99,future_down_excursion_bps_p10,future_down_excursion_bps_p50,future_down_excursion_bps_p90,future_down_excursion_bps_p99
xstock_spot; A/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,A/USD,5,610,1291,681,-24.51337688243293,0.3343531148991552,22.87540587203574,78.90623979006715,1.6626487666093759,10.692331310502844,34.38269533767936,106.27110833394683,-1.3111073735263545,7.960201842205361,30.720297082531356,95.36820973596147,-2.3392360170435555,6.671114076050033,32.85283014845519,84.09559735509747
xstock_spot; A/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,A/USD,15,231,1281,1050,-56.84992277611656,-9.616660034488245,52.52659574467966,177.31213189222646,4.683527365182405,28.695362028696714,76.32054629443718,183.25536772218948,-0.6648936170228215,10.676631522754665,59.38999429587754,191.03825162767467,0.0,24.06095441785938,71.17198777990441,126.97021942534622
xstock_spot; A/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,A/USD,60,0,1236,1236,,,,,,,,,,,,,,,,
xstock_spot; A/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,A/USD,240,0,1056,1056,,,,,,,,,,,,,,,,
xstock_spot; AAPL/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,AAPL/USD,5,2202,4045,1843,-13.195489598800012,-0.15545814053441465,13.541463158316837,44.264594581895466,0.9160880365942647,5.7554828758443755,20.344155412049712,50.07205868842362,0.30780690659759635,5.0870629362176345,20.30713009651808,55.59049915360393,0.3080063353961826,5.518184353057731,19.869228977930316,49.121291135981245
xstock_spot; AAPL/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,AAPL/USD,15,1696,4035,2339,-27.029126220114442,-0.23042984060916982,31.88696770591082,83.03844868563102,2.1803117893443025,12.913488111386817,48.73605340081188,99.36056275513066,1.3687121911876154,11.335089761657091,47.864873582436076,94.84978411900238,1.6919307661616978,12.56846556786595,38.04315637939371,86.06213422284743
xstock_spot; AAPL/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,AAPL/USD,60,1430,3990,2560,-58.96781410429919,2.4344557428812585,63.34044124859185,243.5462536820692,4.00013541680222,22.604098449301446,83.84195267182871,243.5462536820692,4.742023504197723,27.02126529715798,84.99845199532358,261.9138864699334,4.357145781590188,24.111509793956486,81.40596431990315,164.0757032426994
xstock_spot; AAPL/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,AAPL/USD,240,710,3810,3100,-69.41136967303908,5.227632662301307,89.06944140942197,284.83358999781984,8.24562622398195,39.243686269431755,99.48392352230674,284.83358999781984,15.147201214632755,64.95778737528158,139.579573429828,358.0423667162542,6.474600120985108,48.28738638657015,110.09813157011727,284.23785172649195
xstock_spot; ABBV/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,ABBV/USD,5,981,1495,514,-16.201828492072856,0.0,15.429122468659795,38.48616689388118,1.5439246564774578,6.926540193172848,23.986797666564197,66.14781770370386,-0.3841573508500673,5.9801689880023545,21.70197238279936,50.16918530045103,-0.3897116134066181,6.172125139838336,23.134759976866093,70.13395468139292
xstock_spot; ABBV/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,ABBV/USD,15,576,1485,909,-29.844384401355725,2.9798072737485803,22.864524563376285,53.177987471972884,2.1077644606437573,12.267905205321505,37.9450492299882,135.4218197039475,1.5423771328815228,14.804836223951678,33.82923032353546,64.70183739284874,1.351129644034943,10.445715533878296,40.27107825374132,172.90912992360268
xstock_spot; ABBV/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,ABBV/USD,60,102,1440,1338,-69.12773809637062,25.55168293853938,52.68112245841472,61.958082985340155,18.62618013901396,39.14438801334741,69.49236496744737,127.57268915539045,1.5445924119297239,31.962532079893304,56.89376481427311,65.42818819825672,4.086399852153866,24.865159806433667,76.44287235147465,140.1982924728238
