symbol,bucket_ts,regime,confidence,vol,mom,adx,dbs
AAPL/USD,2026-05-15T15:00:00.000Z,RANGE_BOUND_STABLE,0.8490,0.003753,0.002364,27.61,0.0140
AAPL/USD,2026-05-15T16:00:00.000Z,RANGE_BOUND_STABLE,0.8493,0.003723,0.005293,22.33,0.0601
AAPL/USD,2026-05-15T17:00:00.000Z,STRUCTURAL_TRANSITION,0.5352,0.003724,0.010228,25.27,0.1103
AAPL/USD,2026-05-15T18:00:00.000Z,STRUCTURAL_TRANSITION,0.5373,0.003657,0.014409,14.46,0.1269
AAPL/USD,2026-05-15T19:00:00.000Z,STRUCTURAL_TRANSITION,0.5334,0.003656,0.004253,3.80,0.1007
AAPL/USD,2026-05-15T20:00:00.000Z,STRUCTURAL_TRANSITION,0.5350,0.003586,0.003042,11.78,0.1137
AAPL/USD,2026-05-15T21:00:00.000Z,STRUCTURAL_TRANSITION,0.5345,0.003574,0.008333,15.33,0.1109
AAPL/USD,2026-05-15T22:00:00.000Z,TREND_FRIENDLY_STABLE,0.5242,0.003449,0.005299,36.49,0.1104
ABBV/USD,2026-05-15T06:00:00.000Z,TREND_FRIENDLY_STABLE,0.6399,0.004416,0.023470,25.28,0.3786
ABBV/USD,2026-05-15T07:00:00.000Z,TREND_FRIENDLY_STABLE,0.6370,0.004537,0.016573,10.89,0.3763
ABBV/USD,2026-05-15T11:00:00.000Z,TREND_FRIENDLY_STABLE,0.6396,0.004541,0.015489,22.12,0.3838
ABBV/USD,2026-05-15T12:00:00.000Z,TREND_FRIENDLY_STABLE,0.6416,0.004528,0.018177,21.95,0.3885
ABBV/USD,2026-05-15T13:00:00.000Z,TREND_FRIENDLY_STABLE,0.6322,0.004526,0.025364,48.31,0.3627
ABBV/USD,2026-05-15T14:00:00.000Z,TREND_FRIENDLY_STABLE,0.6278,0.004355,0.020891,41.06,0.3431
ABBV/USD,2026-05-15T15:00:00.000Z,STRUCTURAL_TRANSITION,0.5572,0.004672,0.011442,19.17,0.2254
ABBV/USD,2026-05-15T16:00:00.000Z,STRUCTURAL_TRANSITION,0.5481,0.004739,0.012809,9.72,0.1627
ABBV/USD,2026-05-15T17:00:00.000Z,STRUCTURAL_TRANSITION,0.5460,0.004631,0.009521,22.65,0.1522
ABBV/USD,2026-05-15T18:00:00.000Z,STRUCTURAL_TRANSITION,0.5454,0.004596,0.016637,20.03,0.1495
ABBV/USD,2026-05-15T19:00:00.000Z,STRUCTURAL_TRANSITION,0.5474,0.004554,0.016947,22.93,0.1641
ABBV/USD,2026-05-15T20:00:00.000Z,STRUCTURAL_TRANSITION,0.5428,0.004588,0.009065,23.83,0.1327
ABNB/USD,2026-05-15T05:00:00.000Z,STRUCTURAL_TRANSITION,0.5559,0.003801,-0.004043,8.42,-0.2459
ABNB/USD,2026-05-15T06:00:00.000Z,STRUCTURAL_TRANSITION,0.5516,0.003745,-0.006735,2.05,-0.2188
ABNB/USD,2026-05-15T07:00:00.000Z,STRUCTURAL_TRANSITION,0.5548,0.003774,-0.013128,40.95,-0.2396
ABNB/USD,2026-05-15T11:00:00.000Z,STRUCTURAL_TRANSITION,0.5519,0.003410,-0.000525,29.16,-0.2324
ABNB/USD,2026-05-15T13:00:00.000Z,HIGH_VOLATILITY_UNSTABLE,0.7499,0.003620,-0.012482,63.97,-0.2721
ABNB/USD,2026-05-15T14:00:00.000Z,STRUCTURAL_TRANSITION,0.5519,0.004099,0.000940,70.28,-0.2094
ABNB/USD,2026-05-15T15:00:00.000Z,HIGH_VOLATILITY_UNSTABLE,0.6879,0.004157,-0.004735,69.71,-0.2481
ABNB/USD,2026-05-15T16:00:00.000Z,TREND_FRIENDLY_STABLE,0.5255,0.004387,0.003912,49.00,-0.1757
ABNB/USD,2026-05-15T17:00:00.000Z,STRUCTURAL_TRANSITION,0.5461,0.004393,0.000751,45.59,-0.1607
ABNB/USD,2026-05-15T18:00:00.000Z,HIGH_VOLATILITY_UNSTABLE,0.6731,0.004428,-0.002891,56.64,-0.1625
ABNB/USD,2026-05-15T19:00:00.000Z,STRUCTURAL_TRANSITION,0.5432,0.004449,-0.000601,51.97,-0.1398
ABNB/USD,2026-05-15T20:00:00.000Z,HIGH_VOLATILITY_UNSTABLE,0.7041,0.004584,-0.006759,50.58,-0.1671
ADBE/USD,2026-05-15T15:00:00.000Z,TREND_FRIENDLY_STABLE,0.6084,0.006973,0.024120,60.44,0.4291
ADBE/USD,2026-05-15T16:00:00.000Z,TREND_FRIENDLY_STABLE,0.6148,0.007191,0.038783,65.62,0.4730
ADBE/USD,2026-05-15T17:00:00.000Z,TREND_FRIENDLY_STABLE,0.6118,0.007170,0.042355,68.94,0.4590
ADBE/USD,2026-05-15T18:00:00.000Z,TREND_FRIENDLY_STABLE,0.6003,0.007372,0.059541,58.67,0.4276
ADBE/USD,2026-05-15T19:00:00.000Z,TREND_FRIENDLY_STABLE,0.6388,0.005688,0.046144,77.58,0.4458
ADBE/USD,2026-05-15T20:00:00.000Z,TREND_FRIENDLY_STABLE,0.6592,0.004945,0.047095,78.23,0.4609
ADBE/USD,2026-05-15T21:00:00.000Z,TREND_FRIENDLY_STABLE,0.6606,0.004962,0.045084,76.50,0.4660
ADBE/USD,2026-05-15T22:00:00.000Z,TREND_FRIENDLY_STABLE,0.6622,0.004963,0.049571,76.48,0.4709
AEP/USD,2026-05-15T05:00:00.000Z,TREND_FRIENDLY_STABLE,0.6044,0.001917,0.013736,47.85,0.2158
AEP/USD,2026-05-15T06:00:00.000Z,STRUCTURAL_TRANSITION,0.5466,0.001928,0.012877,34.53,0.2467
AEP/USD,2026-05-15T07:00:00.000Z,STRUCTURAL_TRANSITION,0.5519,0.001907,0.009794,29.31,0.2824
AEP/USD,2026-05-15T12:00:00.000Z,STRUCTURAL_TRANSITION,0.5450,0.001933,0.006260,17.65,0.2356
AEP/USD,2026-05-15T13:00:00.000Z,STRUCTURAL_TRANSITION,0.5218,0.003239,-0.009533,40.69,0.0376
