symbol,regime,strategy,signalType,patternType,pool,dollarValue,quantity,entryPrice,exitPrice,target,stopLoss,resultType,grossProfitValue,grossProfitPercent,costs,netProfitValue,netProfitPercent,finalScore,hybridScore,expectedEdge,regimeWeight,entryTime,exitTime,durationMinutes
NANO/USD,LOW_VOL_CHOP,range_trade,QUANT,,ROTATIONAL,250,355.302391,0.703626,0.720262,0.720262,0.6936443999999999,TAKE_PROFIT,5.91,+2.36%,0.008701541217056052,5.9,+2.36%,0.5323399944639318,0.6385705935173212,0.6141146316574477,0.5013130672717448,2026-01-21T19:37:46.014Z,2026-01-22T04:21:43.307Z,523
MORPHO/USD,TRANSITION,liquidity_trap,QUANT,,ROTATIONAL,250,213.631392,1.17024,1.202305,1.202305,1.151001,TAKE_PROFIT,6.85,+2.74%,0.015141507282656359,6.83,+2.73%,0.4961242107118587,0.5709604899465179,0.5756249799632456,0.5151364834110288,2026-01-21T19:45:49.944Z,2026-01-22T04:05:43.305Z,499
MORPHO/USD,TRANSITION,liquidity_trap,QUANT,,IDEAL,250,213.728189,1.16971,1.2017749999999998,1.2017749999999998,1.150471,TAKE_PROFIT,6.85,+2.74%,0.014423361512279673,6.84,+2.74%,0.43145569288096947,0.4947796041542537,0.45290841231779494,0.5452615217803296,2026-01-21T19:51:46.813Z,2026-01-22T04:05:43.305Z,493
FARTCOIN/EUR,TRANSITION,liquidity_trap,QUANT,,ROTATIONAL,250,940.910802,0.2657,0.25841,0.27785,0.25841,STOP_LOSS,-6.86,-2.74%,0.008084658876743311,-6.87,-2.75%,0.36356769273061246,0.42405846646381845,0.38400084777276355,0.4599929755680778,2026-01-21T19:52:51.190Z,2026-01-22T03:43:43.305Z,470
AVNT/USD,TRANSITION,pivot_shift,HYBRID,MORNING_STAR,ROTATIONAL,250,913.575735,0.27365,0.268853,0.28164500000000003,0.268853,STOP_LOSS,-4.38,-1.75%,0.0074467913458012725,-4.39,-1.76%,0.3943809914812364,0.4457444548883371,0.4326434050549914,0.4779448155778024,2026-01-21T23:51:47.069Z,2026-01-22T03:36:43.304Z,224
XMR/USDT,BULL_STABLE,sma_trend_ride,QUANT,,ROTATIONAL,250,0.472536,529.06,514.294,553.67,514.294,STOP_LOSS,-6.98,-2.79%,0.008131306093081346,-6.99,-2.79%,0.6118249457381327,0.7241305361352796,0.6542736504129743,0.6413214472994224,2026-01-21T19:41:50.357Z,2026-01-22T03:35:43.304Z,473
XRP/USDT,TRANSITION,liquidity_trap,QUANT,,ROTATIONAL,250,126.420972,1.97752,1.945678,2.0305899999999997,1.945678,STOP_LOSS,-4.03,-1.61%,0.006321410793419544,-4.03,-1.61%,0.48714241332987224,0.5842612519375067,0.5671693782706753,0.4813154517868808,2026-01-21T19:41:54.026Z,2026-01-22T03:35:43.304Z,473
XMR/USDT,BULL_STABLE,sma_trend_ride,QUANT,,IDEAL,250,0.472001,529.66,514.3119999999999,555.2399999999999,514.3119999999999,STOP_LOSS,-7.24,-2.90%,0.007258841325064398,-7.25,-2.90%,0.6570511610485478,0.7987834294702741,0.7243022915769611,0.6707317073170733,2026-01-21T19:47:44.200Z,2026-01-22T03:35:43.304Z,467
XMR/USDT,BULL_STABLE,pivot_shift,HYBRID,MORNING_STAR,IDEAL,250,0.472652,528.93,512.673,556.025,512.673,STOP_LOSS,-7.68,-3.07%,0.008164859248063625,-7.69,-3.08%,0.639460098388764,0.7308630552445252,0.7330336410888789,0.6942675159235668,2026-01-21T19:53:47.341Z,2026-01-22T03:35:43.304Z,461
ENSO/EUR,TRANSITION,morning_star,QUANT,MORNING_STAR,ROTATIONAL,250,518.672199,0.482,0.49499999999999994,0.49499999999999994,0.4742,TAKE_PROFIT,6.74,+2.70%,0.010358004158004162,6.73,+2.69%,0.4518712950148571,0.5356585334258233,0.5244355822631922,0.44713328469912567,2026-01-21T19:34:53.191Z,2026-01-22T03:32:43.308Z,477
OP/USD,TRANSITION,liquidity_trap,QUANT,,IDEAL,250,804.375804,0.3108,0.32115,0.32115,0.30459,TAKE_PROFIT,8.33,+3.33%,0.0068399999999999295,8.32,+3.33%,0.36767112260495,0.4302031227135682,0.3907886597175403,0.4259563574373476,2026-01-21T19:44:47.586Z,2026-01-22T03:14:43.297Z,449
