ID,Symbol,Strategy,SignalType,PatternType,Regime,Pool,EntryPrice,ExitPrice,TakeProfit,StopLoss,ResultType,PositionSize,GrossProfit%,FrictionCost%,NetProfit%,FeesDollar,EntryTimestamp,ExitTimestamp,DurationMin,FinalScore,HybridScore,ExpectedEdge,RegimeWeight,Status
vt_realp_1768882973015_b6sk7k6b1,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,134.610000,133.533120,136.629150,133.533120,stop_loss,N/A,-0.8000,0.6349,-1.4349,1.5872,2026-01-20 03:55:10,2026-01-20 04:22:53,27.7,0.6899,0.8216,0.008651,0.6512,closed
vt_realp_1768884653024_23cza8zk4,AXS/EUR,sma_trend_ride,QUANT,,BULL_STABLE,rotational,1.712000,1.861000,1.861000,1.622600,take_profit,N/A,8.7033,1.5050,7.1983,3.7624,2026-01-20 03:55:01,2026-01-20 04:50:53,55.9,0.6251,0.6793,0.071983,0.9317,closed
vt_1768881310187_5x2wm4wqr,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,134.610000,133.533120,136.629150,133.533120,stop_loss,N/A,-0.8000,134.0716,-1.7960,1.3407,2026-01-20 03:55:10,2026-01-20 04:53:52,58.7,0.6899,0.8216,0.003999,0.6512,closed
vt_realp_1768884833025_niyxg2cjm,API3/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,0.414800,0.408860,0.424700,0.408860,stop_loss,N/A,-1.4320,1.4747,-2.9067,3.6868,2026-01-20 03:54:54,2026-01-20 04:53:53,59.0,0.4422,0.4760,0.009120,0.5008,closed
vt_realp_1768884893026_jkj1cyrw8,SOL/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,115.170000,114.248640,116.897550,114.248640,stop_loss,N/A,-0.8000,0.6287,-1.4287,1.5717,2026-01-20 03:55:08,2026-01-20 04:54:53,59.7,0.5567,0.6486,0.008713,0.5216,closed
vt_realp_1768884893026_xkvhpp02u,SOL/GBP,range_trade,QUANT,,LOW_VOL_CHOP,rotational,99.920000,99.120640,101.418800,99.120640,stop_loss,N/A,-0.8000,0.6300,-1.4300,1.5750,2026-01-20 03:55:08,2026-01-20 04:54:53,59.7,0.5074,0.5724,0.008700,0.5209,closed
vt_realp_1768884893026_w8w5rt9ix,SOL/EUR,support_bounce,PATTERN,PINBAR,LOW_VOL_CHOP,ideal,115.170000,114.248640,116.897550,114.248640,stop_loss,N/A,-0.8000,0.6287,-1.4287,1.5717,2026-01-20 03:55:55,2026-01-20 04:54:53,59.0,0.5340,0.6282,0.008713,0.5216,closed
vt_realp_1768884893026_xqxd1ylo9,SOL/GBP,range_trade,QUANT,,LOW_VOL_CHOP,ideal,99.920000,99.120640,101.418800,99.120640,stop_loss,N/A,-0.8000,0.6300,-1.4300,1.5750,2026-01-20 03:55:57,2026-01-20 04:54:53,58.9,0.4481,0.5086,0.008700,0.5209,closed
vt_realp_1768885253025_7g1thaifl,SOL/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,134.245000,133.171040,136.258675,133.171040,stop_loss,N/A,-0.8000,0.6275,-1.4275,1.5686,2026-01-20 03:55:09,2026-01-20 05:00:53,65.7,0.5951,0.6681,0.008725,0.6712,closed
vt_realp_1768885313025_41hivkoh1,SOL/USDC,morning_star,QUANT,MORNING_STAR,TRANSITION,rotational,134.430000,133.354560,136.446450,133.354560,stop_loss,N/A,-0.8000,0.6424,-1.4424,1.6059,2026-01-20 03:55:09,2026-01-20 05:01:53,66.7,0.4301,0.4519,0.008576,0.5487,closed
vt_realp_1768885373026_jw9bahdq3,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,134.300000,133.225600,136.314500,133.225600,stop_loss,N/A,-0.8000,0.6274,-1.4274,1.5686,2026-01-20 03:55:54,2026-01-20 05:02:53,67.0,0.5987,0.6910,0.008726,0.6512,closed
vt_realp_1768885493027_4h8p853uy,BTC/USD,defensive_hedge,HYBRID,ENGULFING,BEAR_VOLATILE,rotational,92370.150000,91631.188800,93755.702250,91631.188800,stop_loss,N/A,-0.8000,0.6201,-1.4201,1.5503,2026-01-20 03:55:16,2026-01-20 05:04:53,69.6,0.4553,0.4110,0.008799,0.8475,closed
vt_1768881354635_3xt1390lm,SOL/USDT,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,134.300000,133.225600,136.314500,133.225600,stop_loss,N/A,-0.8000,133.7628,-1.7960,1.3376,2026-01-20 03:55:54,2026-01-20 05:08:52,73.0,0.5987,0.6910,0.002707,0.6512,closed
vt_realp_1768885853028_fmbpuy7tm,ETH/EUR,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,rotational,2732.690000,2710.828480,2773.680350,2710.828480,stop_loss,N/A,-0.8000,0.6204,-1.4204,1.5509,2026-01-20 03:55:06,2026-01-20 05:10:53,75.8,0.4027,0.4426,0.008796,0.5037,closed
vt_realp_1768885853028_k79msy3fz,SOL/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,134.155000,133.081760,136.167325,133.081760,stop_loss,N/A,-0.8000,0.6275,-1.4275,1.5686,2026-01-20 03:55:55,2026-01-20 05:10:53,75.0,0.6429,0.7481,0.008725,0.6712,closed
vt_realp_1768885913028_xb2l78731,ETH/USD,range_trade,QUANT,,LOW_VOL_CHOP,rotational,3185.385000,3159.901920,3233.165775,3159.901920,stop_loss,N/A,-0.8000,0.6203,-1.4203,1.5508,2026-01-20 03:55:07,2026-01-20 05:11:53,76.8,0.4760,0.5485,0.008797,0.5242,closed
vt_1768881308109_3k90tn8wj,SOL/EUR,range_trade,QUANT,,LOW_VOL_CHOP,rotational,115.170000,114.248640,116.897550,114.248640,stop_loss,N/A,-0.8000,114.7093,-1.7960,1.1471,2026-01-20 03:55:08,2026-01-20 05:13:52,78.7,0.5567,0.6486,0.002064,0.5216,closed
vt_1768881309138_58r7e0xyw,SOL/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,rotational,134.245000,133.171040,136.258675,133.171040,stop_loss,N/A,-0.8000,133.7080,-1.7960,1.3371,2026-01-20 03:55:09,2026-01-20 05:13:52,78.7,0.5951,0.6681,0.002652,0.6712,closed
vt_1768881355002_2bzd3xsvp,SOL/USD,pivot_shift,HYBRID,MORNING_STAR,BULL_STABLE,ideal,134.155000,133.081760,136.167325,133.081760,stop_loss,N/A,-0.8000,133.6184,-1.7960,1.3362,2026-01-20 03:55:55,2026-01-20 05:13:52,78.0,0.6429,0.7481,0.003369,0.6712,closed
vt_1768881355388_9quwcqyda,SOL/EUR,support_bounce,PATTERN,PINBAR,LOW_VOL_CHOP,ideal,115.170000,114.248640,116.897550,114.248640,stop_loss,N/A,-0.8000,114.7093,-1.7960,1.1471,2026-01-20 03:55:55,2026-01-20 05:13:52,78.0,0.5340,0.6282,0.001723,0.5216,closed
