"ID","Symbol","Strategy","SignalType","PatternType","Regime","Pool","EntryPrice","ExitPrice","TakeProfit","StopLoss","ResultType","GrossProfit%","NetProfit%","Fees","Quantity","GrossProfitValue","NetProfitValue","FinalScore","HybridScore","ExpectedEdge","RegimeWeight","EntryTime","ExitTime","DurationMin","Status"
"vt_1768706301488_0odhjsvem","XTZ/USDT","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.6275,0.61547,0.64755,0.61547,"stop_loss",-1.9171,-2.9075,0.00621485,250,-4.7928,-7.2689,0.7054,0.7883,0.0106,0.7778,"2026-01-18 03:18:21","2026-01-18 03:21:18",2.9,"closed"
"vt_1768706660264_5791sxgxd","XTZ/USDT","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.6292,0.61717,0.6492499999999999,0.61717,"stop_loss",-1.912,-2.9024,0.00623185,250,-4.7799,-7.256,0.6661,0.7645,0.005,0.7778,"2026-01-18 03:24:20","2026-01-18 03:26:18",2,"closed"
"vt_1768707022721_srm2p0ho8","XTZ/USDT","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.6292,0.61717,0.6492499999999999,0.61717,"stop_loss",-1.912,-2.9024,0.00623185,250,-4.7799,-7.256,0.5902,0.6831,0.0036,0.7645,"2026-01-18 03:30:22","2026-01-18 03:31:18",0.9,"closed"
"vt_1768707561082_jkoync68z","KGEN/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.2937,0.28503000000000006,0.30815000000000003,0.28503000000000006,"stop_loss",-2.952,-3.9372,0.0028936500000000006,250,-7.38,-9.8431,0.6904,0.8327,0.0178,0.6892,"2026-01-18 03:39:21","2026-01-18 03:41:18",2,"closed"
"vt_1768707920739_gjjn23ie6","KGEN/USD","morning_star","QUANT","MORNING_STAR","TRANSITION","ideal",0.2943,0.28563,0.30875,0.28563,"stop_loss",-2.946,-3.9312,0.00289965,250,-7.3649,-9.8281,0.429,0.4553,0.0049,0.5103,"2026-01-18 03:45:20","2026-01-18 03:46:18",1,"closed"
"vt_1768708831038_v0qb41kzf","ICP/EUR","liquidity_trap","QUANT","","TRANSITION","rotational",3.481,3.4278999999999997,3.5694999999999997,3.4278999999999997,"stop_loss",-1.5254,-2.5178,0.0345445,250,-3.8136,-6.2945,0.425,0.4878,0.0035,0.4306,"2026-01-18 04:00:31","2026-01-18 04:01:18",0.8,"closed"
"vt_1768709433936_rii5r9260","TRAC/USD","pivot_shift","HYBRID","MORNING_STAR","BULL_STABLE","rotational",0.4283,0.422,0.43879999999999997,0.422,"stop_loss",-1.4709,-2.4636,0.0042515,250,-3.6773,-6.1589,0.6847,0.8019,0.0078,0.6957,"2026-01-18 04:10:33","2026-01-18 04:11:18",0.7,"closed"
"vt_1768709780356_vztgs6vm8","TRAC/USD","pivot_shift","HYBRID","MORNING_STAR","BULL_STABLE","ideal",0.4278,0.42150000000000004,0.43829999999999997,0.42150000000000004,"stop_loss",-1.4727,-2.4653,0.0042465,250,-3.6816,-6.1632,0.6222,0.7083,0.0074,0.6871,"2026-01-18 04:16:20","2026-01-18 04:21:18",5,"closed"
"vt_1768710142153_6hf6pqdwx","TRAC/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.4271,0.4208,0.43760000000000004,0.4208,"stop_loss",-1.4751,-2.4677,0.0042395,250,-3.6877,-6.1692,0.5898,0.7194,0.0071,0.655,"2026-01-18 04:22:22","2026-01-18 04:26:18",3.9,"closed"
"vt_1768705959122_cdbsq6cas","ORCA/USD","pivot_shift","HYBRID","MORNING_STAR","BULL_STABLE","rotational",1.189,1.177,1.209,1.177,"stop_loss",-1.0093,-2.0042,0.01183,250,-2.5231,-5.0105,0.5868,0.6668,0.0028,0.7755,"2026-01-18 03:12:39","2026-01-18 04:31:18",78.7,"closed"
"vt_1768706301877_bkc0zgn1j","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.189,1.177,1.209,1.177,"stop_loss",-1.0093,-2.0042,0.01183,250,-2.5231,-5.0105,0.6676,0.7504,0.0042,0.7755,"2026-01-18 03:18:21","2026-01-18 04:31:18",72.9,"closed"
"vt_1768706660947_y9fq6mecr","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.189,1.177,1.209,1.177,"stop_loss",-1.0093,-2.0042,0.01183,250,-2.5231,-5.0105,0.671,0.8085,0.0034,0.7308,"2026-01-18 03:24:20","2026-01-18 04:31:18",67,"closed"
"vt_1768707021933_o52h9thr6","ORCA/USD","pivot_shift","HYBRID","MORNING_STAR","BULL_STABLE","ideal",1.189,1.177,1.209,1.177,"stop_loss",-1.0093,-2.0042,0.01183,250,-2.5231,-5.0105,0.6908,0.8043,0.0046,0.7308,"2026-01-18 03:30:21","2026-01-18 04:31:18",60.9,"closed"
"vt_1768707380310_4v84aye9r","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.6302,0.7567,0.0028,0.7037,"2026-01-18 03:36:20","2026-01-18 04:31:18",55,"closed"
"vt_1768707742785_hyp6xc5g5","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.619,0.7086,0.0026,0.7037,"2026-01-18 03:42:22","2026-01-18 04:31:18",48.9,"closed"
"vt_1768708103007_b3yygsyx7","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.6672,0.8083,0.0034,0.6863,"2026-01-18 03:48:23","2026-01-18 04:31:18",42.9,"closed"
"vt_1768708459915_6codrz1zm","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.6235,0.7491,0.0026,0.6863,"2026-01-18 03:54:19","2026-01-18 04:31:18",37,"closed"
"vt_1768708819540_oya4ielp9","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.6631,0.8125,0.0042,0.6863,"2026-01-18 04:00:19","2026-01-18 04:31:18",31,"closed"
"vt_1768709179687_objx6suv6","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.5856,0.6644,0.002,0.6863,"2026-01-18 04:06:19","2026-01-18 04:31:18",25,"closed"
"vt_1768709540976_kb5c104ct","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.5693,0.6503,0.0026,0.6863,"2026-01-18 04:12:20","2026-01-18 04:31:18",19,"closed"
"vt_1768709901247_ngi7ke19s","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.6085,0.6933,0.0024,0.6667,"2026-01-18 04:18:21","2026-01-18 04:31:18",13,"closed"
"vt_1768710260062_47iz8ansc","ORCA/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.184,1.172,1.204,1.172,"stop_loss",-1.0135,-2.0084,0.011779999999999999,250,-2.5338,-5.0211,0.6126,0.7129,0.0024,0.6667,"2026-01-18 04:24:20","2026-01-18 04:31:18",7,"closed"
"vt_1768710395795_45uhjfsi8","CVX/EUR","sma_trend_ride","QUANT","","BULL_STABLE","rotational",1.859,1.8182,1.927,1.8182,"stop_loss",-2.1947,-3.1838,0.018386,250,-5.4868,-7.9594,0.6004,0.681,0.013,0.7429,"2026-01-18 04:26:35","2026-01-18 04:31:18",4.7,"closed"
"vt_1768710503035_ygr53ryrc","TRAC/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.427,0.42069999999999996,0.43749999999999994,0.42069999999999996,"stop_loss",-1.4754,-2.468,0.004238499999999999,250,-3.6885,-6.1701,0.6693,0.8006,0.0089,0.655,"2026-01-18 04:28:23","2026-01-18 04:31:18",2.9,"closed"
"vt_1768710742819_09i96qihk","CVX/EUR","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.859,1.8182,1.927,1.8182,"stop_loss",-2.1947,-3.1838,0.018386,250,-5.4868,-7.9594,0.6948,0.831,0.0159,0.7429,"2026-01-18 04:32:22","2026-01-18 04:36:18",3.9,"closed"
"vt_1768710859527_g3iz18okm","TRAC/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.4271,0.4208,0.43760000000000004,0.4208,"stop_loss",-1.4751,-2.4677,0.0042395,250,-3.6877,-6.1692,0.5722,0.6503,0.0065,0.655,"2026-01-18 04:34:19","2026-01-18 04:36:18",2,"closed"
"vt_1768710982475_ttr03kyoh","RIVER/USD","breakout","QUANT","","HIGH_VOL_IMPULSE","ideal",21.057,18.952799999999996,24.563999999999997,18.952799999999996,"stop_loss",-9.9929,-10.9429,0.200049,250,-24.9822,-27.3573,0.5173,0.6608,0.07,0.4634,"2026-01-18 04:36:22","2026-01-18 04:41:18",4.9,"closed"
"vt_1768711099919_sao804z8m","CVX/EUR","sma_trend_ride","QUANT","","BULL_STABLE","ideal",1.859,1.8182,1.927,1.8182,"stop_loss",-2.1947,-3.1838,0.018386,250,-5.4868,-7.9594,0.6435,0.7637,0.0119,0.7429,"2026-01-18 04:38:19","2026-01-18 04:41:18",3,"closed"
"vt_1768711220687_xu7alr2g9","TRAC/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.427,0.42069999999999996,0.43749999999999994,0.42069999999999996,"stop_loss",-1.4754,-2.468,0.004238499999999999,250,-3.6885,-6.1701,0.5703,0.6581,0.0069,0.655,"2026-01-18 04:40:20","2026-01-18 04:41:18",1,"closed"
"vt_1768707080616_uxp4ngzpt","FXS/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.914,0.8747,0.9795,0.8747,"stop_loss",-4.2998,-5.2783,0.0089435,250,-10.7495,-13.1957,0.696,0.8092,0.0371,0.8212,"2026-01-18 03:31:20","2026-01-18 04:46:18",75,"closed"
"vt_1768707440677_9odmf36zm","FXS/USD","sma_trend_ride","QUANT","","BULL_STABLE","ideal",0.922,0.8749000000000001,1.0005000000000002,0.8749000000000001,"stop_loss",-5.1085,-6.0829,0.008984500000000001,250,-12.7711,-15.2073,0.6805,0.8076,0.043,0.8342,"2026-01-18 03:37:20","2026-01-18 04:46:18",69,"closed"
"vt_1768711343663_12lrwxa0h","RIVER/USD","breakout","QUANT","","HIGH_VOL_IMPULSE","ideal",21.509,19.4048,25.016000000000002,19.4048,"stop_loss",-9.7829,-10.734,0.204569,250,-24.4572,-26.8349,0.505,0.5817,0.067,0.4844,"2026-01-18 04:42:23","2026-01-18 04:46:18",3.9,"closed"
"vt_1768705534669_x4e9rum0x","SYRUP/EUR","range_trade","QUANT","","LOW_VOL_CHOP","rotational",0.31156,0.30889900000000003,0.3162334,0.30889900000000003,"stop_loss",-0.8541,-1.8498,0.0031022950000000006,250,-2.1352,-4.6245,0.5313,0.6009,-0.0016,0.4993,"2026-01-18 03:05:34","2026-01-18 04:51:18",105.7,"closed"
