ID,Symbol,Strategy,SignalType,PatternType,Regime,Pool,EntryPrice,ExitPrice,TakeProfit,StopLoss,ResultType,GrossProfit%,NetProfit%,Fees,Quantity,GrossProfitValue,NetProfitValue,FinalScore,HybridScore,ExpectedEdge,RegimeWeight,EntryTime,ExitTime,DurationMin,Status
vt_1768488543152_l2zmhlt9u,XTZ/USDC,liquidity_trap,QUANT,,TRANSITION,ideal,0.5824,0.59905,0.59905,0.57241,take_profit,2.8589,1.8446,0.00590725,250.0,7.1471,4.6114,0.3835,0.4224,-0.001767,0.5103,2026-01-15 14:49:03,2026-01-15 14:54:47,5.7,closed
vt_1768488554224_wkaz39rgo,XTZ/USDT,liquidity_trap,QUANT,,TRANSITION,rotational,0.5852,0.6046,0.6046,0.57356,take_profit,3.3151,2.2985,0.005949,250.0,8.2878,5.7463,0.4258,0.4802,0.006544,0.4577,2026-01-15 14:49:14,2026-01-15 14:54:47,5.6,closed
vt_1768487510801_ilnq3955r,SOL/EUR,support_bounce,PATTERN,PINBAR,LOW_VOL_CHOP,ideal,125.13,123.855,127.255,123.855,stop_loss,-1.0189,-2.0138,1.244925,250.0,-2.5474,-5.0346,0.5214,0.5905,0.002415,0.5182,2026-01-15 14:31:50,2026-01-15 14:54:47,22.9,closed
vt_1768487513105_w10xrt577,ETH/USD,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,rotational,3368.89,3331.303,3431.535,3331.303,stop_loss,-1.1157,-2.1101,33.500965,250.0,-2.7893,-5.2753,0.451,0.5222,0.002183,0.5159,2026-01-15 14:31:53,2026-01-15 14:54:47,22.9,closed
vt_1768487515832_7btt4j2we,SOL/USD,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,rotational,145.15,143.59,147.75,143.59,stop_loss,-1.0748,-2.0694,1.4437,250.0,-2.6869,-5.1734,0.4551,0.5215,0.001815,0.4779,2026-01-15 14:31:55,2026-01-15 14:54:47,22.9,closed
vt_1768487518990_n1ofv7s09,XRP/USDT,pivot_shift,HYBRID,MORNING_STAR,TRANSITION,rotational,2.12112,2.093976,2.16636,2.093976,stop_loss,-1.2797,-2.2733,0.02107548,250.0,-3.1993,-5.6833,0.4409,0.4989,0.002633,0.4809,2026-01-15 14:31:58,2026-01-15 14:54:47,22.8,closed
vt_1768487561743_i53zz8bhy,DOT/USDT,sma_trend_ride,QUANT,,BULL_STABLE,ideal,2.233,2.19325,2.29925,2.19325,stop_loss,-1.7801,-2.7712,0.02213125,250.0,-4.4503,-6.928,0.6678,0.7488,0.011985,0.7771,2026-01-15 14:32:41,2026-01-15 14:54:47,22.1,closed
vt_1768487563022_q1h32s8ib,ETH/EUR,range_trade,QUANT,,LOW_VOL_CHOP,ideal,2901.01,2869.519,2953.495,2869.519,stop_loss,-1.0855,-2.0801,28.852645,250.0,-2.7138,-5.2002,0.4204,0.4739,0.000929,0.5226,2026-01-15 14:32:43,2026-01-15 14:54:47,22.1,closed
vt_1768487565905_q6lxw3l5w,YB/USD,sma_trend_ride,QUANT,,BULL_STABLE,ideal,0.39637,0.386629,0.412605,0.386629,stop_loss,-2.4576,-3.4453,0.003915,250.0,-6.1439,-8.6132,0.6596,0.7971,0.017841,0.6257,2026-01-15 14:32:45,2026-01-15 14:54:47,22.0,closed
vt_1768487567738_pchinabg3,SOL/EUR,liquidity_trap,QUANT,,TRANSITION,ideal,124.96,123.685,127.085,123.685,stop_loss,-1.0203,-2.0152,1.243225,250.0,-2.5508,-5.0381,0.4112,0.4902,0.000712,0.4487,2026-01-15 14:32:47,2026-01-15 14:54:47,22.0,closed
